ANNIE HALL	 (Sound and Woody Allen monologue begin)	ALVY	 There's an old joke.  Uh, two elderly women are at a Catskills mountain resort, and one of 'em says: "Boy, the food at this place is really terrible." The other one says, "Yeah, I know, and such ... small portions." Well, that's essentially how I feel about life.  Full of loneliness and misery and suffering and unhappiness, and it's all over much too quickly.  The-the other important joke for me is one that's, uh, usually attributed to Groucho Marx, but I think it appears originally in Freud's wit and its relation to the unconscious.  And it goes like this-I'm paraphrasing: Uh ... "I would never wanna belong to any club that would have someone like me for a member." That's the key joke of my adult life in terms of my relationships with women.  Tsch, you know, lately the strangest things have been going through my mind, 'cause I turned forty, tsch, and I guess I'm going through a life crisis or something, I don't know. I, uh ... and I'm not worried about aging. I'm not one o' those characters, you know. Although I'm balding slightly on top, that's about the worst you can say about me.  I, uh, I think I'm gonna get better as I get older, you know?  I think I'm gonna be the- the balding virile type, you know, as opposed to say the, uh, distinguished gray, for instance, you know?  'Less I'm neither o' those two. Unless I'm one o' those guys with saliva dribbling out of his mouth who wanders into a cafeteria with a shopping bag screaming about socialism. (Sighing) Annie and I broke up and I-I still can't get my mind around that.  You know, I-I keep sifting the pieces of the relationship through my mind and-and examining my life and tryin' to figure out where did the screw-up come, you know, and a year ago we were... tsch, in love.  You know, and-and-and ... And it's funny, I'm not-I'm not a morose type.  I'm not a depressive character. I-I-I, uh, (Laughing) you know, I was a reasonably happy kid, I guess.  I was brought up in Brooklyn during World War II.					Annie Hall 
ALVY'S VOICE	 (To himself) Jesus, this guy's pathetic.	COMIC	 (Overlapping above speech) ... big lumberjack ...	ALVY'S VOICE	 (To himself while the comic continues his routine) Look at him mincing around, like he thinks he's real cute.  You wanna throw up.  If only I had the nerve to do my own jokes.  I don't know how much longer I can keep this smile frozen on my face. I'm in the wrong business, I know it.	COMIC	 (Overlapping above speech) "'Cherie, come back.  I love you. (Shaking his lips and mimicking) But, uh, Cheri, what will I do with this, uh?' He says, 'Aw, Marie, sometime you make me so mad."' (Laughing) Oh, they scream at that.  Now, write me somethin' like that, will yuh?  Kinda French number, can yuh do it?  Huh, kid?	Annie Hall 
COMIC	 (Overlapping above speech) ... big lumberjack ...	ALVY'S VOICE	 (To himself while the comic continues his routine) Look at him mincing around, like he thinks he's real cute.  You wanna throw up.  If only I had the nerve to do my own jokes.  I don't know how much longer I can keep this smile frozen on my face. I'm in the wrong business, I know it.	COMIC	 (Overlapping above speech) "'Cherie, come back.  I love you. (Shaking his lips and mimicking) But, uh, Cheri, what will I do with this, uh?' He says, 'Aw, Marie, sometime you make me so mad."' (Laughing) Oh, they scream at that.  Now, write me somethin' like that, will yuh?  Kinda French number, can yuh do it?  Huh, kid?			Annie Hall 
ALVY'S VOICE	 (To himself while the comic continues his routine) Look at him mincing around, like he thinks he's real cute.  You wanna throw up.  If only I had the nerve to do my own jokes.  I don't know how much longer I can keep this smile frozen on my face. I'm in the wrong business, I know it.	COMIC	 (Overlapping above speech) "'Cherie, come back.  I love you. (Shaking his lips and mimicking) But, uh, Cheri, what will I do with this, uh?' He says, 'Aw, Marie, sometime you make me so mad."' (Laughing) Oh, they scream at that.  Now, write me somethin' like that, will yuh?  Kinda French number, can yuh do it?  Huh, kid?					Annie Hall 
ALVY	 Well, the twelve o'clock show is completely different than the nine.	YOUNG WOMAN	 (Interrupting) May I have your autograph?	ANNIE	 (Over lapping above speech) Oh.	ALVY	 (To Annie, while autographing) You're so sure about it.	Annie Hall 
YOUNG WOMAN	 (Interrupting) May I have your autograph?	ANNIE	 (Over lapping above speech) Oh.	ALVY	 (To Annie, while autographing) You're so sure about it.	ANNIE	 Oh, I'm really, uh, looking forward to tomorrow.  I mean, you know, I think that it'll be really nice to meet Mother and Father.	Annie Hall 
ANNIE	 (Over lapping above speech) Oh.	ALVY	 (To Annie, while autographing) You're so sure about it.	ANNIE	 Oh, I'm really, uh, looking forward to tomorrow.  I mean, you know, I think that it'll be really nice to meet Mother and Father.	ALVY	 Yeah, I know, they'll hate me immediately. (To one of his fans) Thank you.	Annie Hall 
ANNIE	 Oh, I'm really, uh, looking forward to tomorrow.  I mean, you know, I think that it'll be really nice to meet Mother and Father.	ALVY	 Yeah, I know, they'll hate me immediately. (To one of his fans) Thank you.	ANNIE	 No, I don't think so.  No, I don't think they're gonna hate you at all.  On the contrary, I think-	ALVY	 Yeah.	Annie Hall 
MOM HALL	 (Holding her wine glass) It's a nice ham this year, Mom.	ANNIE	 (Smiling at Duane) Oh, yeah.  Grammy always does such a good job.	DAD HALL	 (Chewing) A great sauce.	ALVY	 It is. (Smacking his lips) It's dynamite ham.	Annie Hall 
ANNIE	 (Smiling at Duane) Oh, yeah.  Grammy always does such a good job.	DAD HALL	 (Chewing) A great sauce.	ALVY	 It is. (Smacking his lips) It's dynamite ham.	MOM HALL	 (To Dad Hall, smoothing her hair) We went over to the swap meet.  Annie, Gram and I. Got some nice picture frames.	Annie Hall 
DAD HALL	 (Chewing) A great sauce.	ALVY	 It is. (Smacking his lips) It's dynamite ham.	MOM HALL	 (To Dad Hall, smoothing her hair) We went over to the swap meet.  Annie, Gram and I. Got some nice picture frames.	ANNIE	 We really had a good time.	Annie Hall 
ALVY	 It is. (Smacking his lips) It's dynamite ham.	MOM HALL	 (To Dad Hall, smoothing her hair) We went over to the swap meet.  Annie, Gram and I. Got some nice picture frames.	ANNIE	 We really had a good time.	MOM HALL	 (Lighting a cigarette and turning to Alvy) Ann tells us that you've been seeing a psychiatrist for fifteen years.	Annie Hall 
ANNIE	 We really had a good time.	MOM HALL	 (Lighting a cigarette and turning to Alvy) Ann tells us that you've been seeing a psychiatrist for fifteen years.	ALVY	 (Setting down his glass and coughing) Yes.  I'm making excellent progress. Pretty soon when I lie down on his couch, I won't have to wear the lobster bib.	DAD HALL	 Duane and I went out to the boat basin.	Annie Hall 
MOM HALL	 (Lighting a cigarette and turning to Alvy) Ann tells us that you've been seeing a psychiatrist for fifteen years.	ALVY	 (Setting down his glass and coughing) Yes.  I'm making excellent progress. Pretty soon when I lie down on his couch, I won't have to wear the lobster bib.	DAD HALL	 Duane and I went out to the boat basin.	DUANE	 We were caulkin' holes all day.	Annie Hall 
DUANE	 We were caulkin' holes all day.	DAD HALL	 Yeah. (Laughing) Randolph Hunt was drunk, as usual.	MOM HALL	 Oh, that Randolph Hunt.  You remember Randy Hunt, Annie.  He was in the choir with you.	ANNIE	 Oh, yes, yes.	Annie Hall 
ANNIE	 Oh, yes, yes.	ALVY	 (To the audience) I can't believe this family. (Making chewing sounds) Annie's mother.  She really's beautiful. And they're talkin' swap meets and boat basins, and the old lady at the end of the table (Pointing to Grammy) is a classic Jew hater.  And, uh, they, they realty look American, you know, very healthy and ... like they never get sick or anything.  Nothing like my family.  You know, the two are like oil and water.	ALVY'S FATHER	 Let 'im drop dead!  Who needs his business?!	ALVY'S MOTHER	 His wife has diabetes!	Annie Hall 
DUANE	 Alvy.	ALVY	 (Walking in) Oh, hi, Duane, how's it goin'?	DUANE	 This is my room.	ALVY	 (Looking around) Oh, yeah? (He clears his throat) Terrific.	Annie Hall 
DUANE	 This is my room.	ALVY	 (Looking around) Oh, yeah? (He clears his throat) Terrific.	DUANE	 Can I confess something?	DUANE	 I tell you this because, as an artist, I think you'll understand.  Sometimes when I'm driving ... on the road at night ... I see two headlights coming toward me. Fast.  I have this sudden impulse to turn the wheel quickly, head-on into the oncoming car.  I can anticipate the explosion.  The sound of shattering glass. The ... flames rising out of the flowing gasoline.	Annie Hall 
DUANE	 I tell you this because, as an artist, I think you'll understand.  Sometimes when I'm driving ... on the road at night ... I see two headlights coming toward me. Fast.  I have this sudden impulse to turn the wheel quickly, head-on into the oncoming car.  I can anticipate the explosion.  The sound of shattering glass. The ... flames rising out of the flowing gasoline.	ALVY	 (Reacting and clearing his throat) Right.  Tsch, well, I have to-I have t-o go now, Duane, because I-I'm due back on the planet earth.					Annie Hall 
ANNIE	 (Off screen) You followed me.  I can't believe it!	ALVY	 (Off screen) I didn't follow you!	ANNIE	 You followed me!	ALVY	 Why?  'Cause I ... was walkin' along a block behind you staring at you? That's not following!	Annie Hall 
ANNIE	 Well, what is your definition of following?	ALVY	 (Gasping) Following is different.  I was spying.	ANNIE	 Do you realize how paranoid you are?	ALVY	 Paranoid?  I'm looking at you.  You got your arms around another guy.	Annie Hall 
ALVY	 What's the difference?  It's all mental masturbation.	ANNIE	 (Stopping for a moment) Oh, well, now we're finally getting to a subject you know something about!	ALVY	 (Catching up to her) Hey, don't knock masturbation!  It's sex with someone I love.	ANNIE	 (Continuing to walk quickly) We're not having an affair.  He's married. He just happens to think I'm neat.	Annie Hall 
ANNIE	 (Stopping for a moment) Oh, well, now we're finally getting to a subject you know something about!	ALVY	 (Catching up to her) Hey, don't knock masturbation!  It's sex with someone I love.	ANNIE	 (Continuing to walk quickly) We're not having an affair.  He's married. He just happens to think I'm neat.	ALVY	 (Still walking next to her) "Neat"!  There's that- What are you-twelve years old?  That's one o' your Chippewa Falls expressions!  "He thinks I'm neat."	Annie Hall 
ALVY	 (Catching up to her) Hey, don't knock masturbation!  It's sex with someone I love.	ANNIE	 (Continuing to walk quickly) We're not having an affair.  He's married. He just happens to think I'm neat.	ALVY	 (Still walking next to her) "Neat"!  There's that- What are you-twelve years old?  That's one o' your Chippewa Falls expressions!  "He thinks I'm neat."	ANNIE	 Who cares?  Who cares?	Annie Hall 
ANNIE	 (Continuing to walk quickly) We're not having an affair.  He's married. He just happens to think I'm neat.	ALVY	 (Still walking next to her) "Neat"!  There's that- What are you-twelve years old?  That's one o' your Chippewa Falls expressions!  "He thinks I'm neat."	ANNIE	 Who cares?  Who cares?	ALVY	 Next thing you know he'll find you keen and peachy, you know?  Next thing you know he's got his hand on your ass!	Annie Hall 
ALVY	 Well, listen, that's, a nice bi-it's a biblical name.  Right?  W-What does he call you?  Bathsheba?	ANNIE	 (Calling after him) Alvy!  Alvy!  You're the one who never wanted to make a real commitment.  You don't think I'm smart enough!  We had that argument just last month, or don't ou remember that day?					Annie Hall 
ANNIE	 (Off screen) I'm home!	ALVY	 (Turning) Oh, yeah?  How'd it go?	ANNIE	 (Comes into the kitchen and puts down a bag of groceries on the kitchen table) Oh, it was ... (Laughing) really weird.  But she's a very nice woman.	ALVY	 Yeah?	Annie Hall 
ALVY	 (Turning) Oh, yeah?  How'd it go?	ANNIE	 (Comes into the kitchen and puts down a bag of groceries on the kitchen table) Oh, it was ... (Laughing) really weird.  But she's a very nice woman.	ALVY	 Yeah?	ANNIE	 And I didn't have to lie down on the couch, Alvy, she had me sitting up.  So I told her about-about the-the family and about my feelings toward men and about my relationship with my brother.	Annie Hall 
ALVY	 You cried?  I've never once cried. Fantastic ...	ANNIE	 (Taking groceries from the bag) Yeah.	ALVY	 I whine. I-I-I sit and I whine.	ANNIE	 In-in ... Alvy, in my dream Frank Sinatra is holding his pillow across my face and I can't breathe.	Annie Hall 
ANNIE	 ... and I keep, you know, it's-	ALVY	 (Taking a bottle of juice and some celery from the bag) Well, well, sure ... because he's a singer and you're a singer, you know, so it's perfect.  So you're trying to suffocate yourself.  It-it makes perfect sense.  Uh, uh, that's a perfect analytic ... kind of insight.	ANNIE	 (Pointing her finger at Alvy) She said, your name was Alvy Singer.	ALVY	 (Turning to Annie) Whatta you mean?  Me?	Annie Hall 
ALVY	 (Taking a bottle of juice and some celery from the bag) Well, well, sure ... because he's a singer and you're a singer, you know, so it's perfect.  So you're trying to suffocate yourself.  It-it makes perfect sense.  Uh, uh, that's a perfect analytic ... kind of insight.	ANNIE	 (Pointing her finger at Alvy) She said, your name was Alvy Singer.	ALVY	 (Turning to Annie) Whatta you mean?  Me?	ANNIE	 Yeah, yeah, yeah, you.  Because in the dream ... I break Sinatra's glasses.	Annie Hall 
ANNIE	 (Pointing her finger at Alvy) She said, your name was Alvy Singer.	ALVY	 (Turning to Annie) Whatta you mean?  Me?	ANNIE	 Yeah, yeah, yeah, you.  Because in the dream ... I break Sinatra's glasses.	ALVY	 (Putting his band to his mouth) Sinatra had gl- You never said Sinatra had glasses.  So whatta you saying that I-I'm suffocating you?	Annie Hall 
ANNIE	 Yeah, yeah, yeah, you.  Because in the dream ... I break Sinatra's glasses.	ALVY	 (Putting his band to his mouth) Sinatra had gl- You never said Sinatra had glasses.  So whatta you saying that I-I'm suffocating you?	ANNIE	 (Turning, ajar in her hand) Oh, and God, Alvy, I did ... this really terrible thing to him.  Because then when he sang it was in this real high-pitched voice.	ALVY	 (Thinking) Tsch, what'd the doctor say?	Annie Hall 
ALVY	 (Putting his band to his mouth) Sinatra had gl- You never said Sinatra had glasses.  So whatta you saying that I-I'm suffocating you?	ANNIE	 (Turning, ajar in her hand) Oh, and God, Alvy, I did ... this really terrible thing to him.  Because then when he sang it was in this real high-pitched voice.	ALVY	 (Thinking) Tsch, what'd the doctor say?	ANNIE	 (Putting away some groceries) Well, she said that I should probably come five times a week.  And you know something?  I don't think I mind analysis at all.  The only question is, Will it change my wife?	Annie Hall 
ANNIE	 (Turning, ajar in her hand) Oh, and God, Alvy, I did ... this really terrible thing to him.  Because then when he sang it was in this real high-pitched voice.	ALVY	 (Thinking) Tsch, what'd the doctor say?	ANNIE	 (Putting away some groceries) Well, she said that I should probably come five times a week.  And you know something?  I don't think I mind analysis at all.  The only question is, Will it change my wife?	ALVY	 Will it change your wife?	Annie Hall 
ALVY	 (Thinking) Tsch, what'd the doctor say?	ANNIE	 (Putting away some groceries) Well, she said that I should probably come five times a week.  And you know something?  I don't think I mind analysis at all.  The only question is, Will it change my wife?	ALVY	 Will it change your wife?	ANNIE	 Will it change my life?	Annie Hall 
ALVY	 Yeah, but you said, "Will it change my wife"!	ANNIE	 No, I didn't. (Laughing) I said, "Will it change my life," Alvy.	ALVY	 You said, "Will it change. . ." Wife. Will it change ...	ANNIE	 (Yelling out, angry) Life.  I said, "life."	Annie Hall 
ALVY	 You said, "Will it change. . ." Wife. Will it change ...	ANNIE	 (Yelling out, angry) Life.  I said, "life."	ALVY	 (To the audience) She said, "Will it change my wife." You heard that because you were there so I'm not crazy.	ANNIE	 And, Alvy ... and then I told her about how I didn't think you'd ever really take me seriously, because you don't think that I'm smart enough.	Annie Hall 
ANNIE	 (Yelling out, angry) Life.  I said, "life."	ALVY	 (To the audience) She said, "Will it change my wife." You heard that because you were there so I'm not crazy.	ANNIE	 And, Alvy ... and then I told her about how I didn't think you'd ever really take me seriously, because you don't think that I'm smart enough.	ALVY	 (To Annie's back, gesturing) Why do you always bring that up?  Because I encourage you to take adult-education courses?  I think it's a wonderful thing. You meet wonderful, interesting professors'.	Annie Hall 
ANNIE	 And, Alvy ... and then I told her about how I didn't think you'd ever really take me seriously, because you don't think that I'm smart enough.	ALVY	 (To Annie's back, gesturing) Why do you always bring that up?  Because I encourage you to take adult-education courses?  I think it's a wonderful thing. You meet wonderful, interesting professors'.					Annie Hall 
ANNIE	 A bit rapidly.  I don't care what you say about David, he's a perfectly fine teacher!	ALVY	 (Interrupting) David!  David!  I can't believe this!	ANNIE	 And what are you doing following me around for, anyway?	ALVY	 I'm following you and David, if you-	Annie Hall 
ALVY	 I'm following you and David, if you-	ANNIE	 (Interrupting) I just think we oughta call this relationship quits! (He turns toward the camera as the cab drives away) Well, I don't know what I did wrong. (Gesturing) I mean, I can't believe this.  Somewhere she cooled off to me! (He walks up to an older woman walking down the street carrying groceries) Is it-is it something that I did?					Annie Hall 
CARTOON FIGURE ROB'S VOICE-OVER	 -for Rolling Stone.	FEMALE REPORTER	 I think there are more people here to see the Maharishi than there were to see the Dylan concert.  I covered the Dylan concert ... which gave me chills. Especially when he sang "She takes just like a woman And she makes love just like a woman Yes, she does And she aches just like a woman But she breaks just like a little girl." (They move toward the aisles as a guard holds up his hands to stop them) Up to that I guess the most charismatic event I covered was Mick's Birthday when the Stones played Madison Square Garden.	ALVY	 (Laughing) Man, that's great.  That's just great.	REPORTER	 You catch Dylan?	Annie Hall 
FEMALE REPORTER	 I think there are more people here to see the Maharishi than there were to see the Dylan concert.  I covered the Dylan concert ... which gave me chills. Especially when he sang "She takes just like a woman And she makes love just like a woman Yes, she does And she aches just like a woman But she breaks just like a little girl." (They move toward the aisles as a guard holds up his hands to stop them) Up to that I guess the most charismatic event I covered was Mick's Birthday when the Stones played Madison Square Garden.	ALVY	 (Laughing) Man, that's great.  That's just great.	REPORTER	 You catch Dylan?	ALVY	 (Coughing) Me?  No, no. I-I couldn't make it that ni- My-my raccoon had hepatitis.	Annie Hall 
REPORTER	 You catch Dylan?	ALVY	 (Coughing) Me?  No, no. I-I couldn't make it that ni- My-my raccoon had hepatitis.	REPORTER	 You have a raccoon?	ALVY	 (Gesturing) Tsch, a few.	Annie Hall 
REPORTER	 You have a raccoon?	ALVY	 (Gesturing) Tsch, a few.	REPORTER	 The only word for this is trans-plendid. It's trans-plendid.	ALVY	 I can think of another word.	Annie Hall 
REPORTER	 Yeah.	ALVY	 I can't get with any religion that advertises in Popular Mechanics.  Look- (The Maharisbi, a small, chunky man, walks out of the men's room, huge bodyguards flanking him while policemen bold back the crowds) there's God coming outta the men's room.	REPORTER	 It's unbelievably trans-plendid!  I was at the Stones concert in Altamount when they killed that guy, remember?	ALVY	 Yeah, were yuh?  I was-I was at an Alice Cooper thing where six people were rushed to the hospital with bad vibes.	Annie Hall 
REPORTER	 (Looking down at him) I hope you don't mind that I took so long to finish.	ALVY	 (Sighing) Oh, no, no, don't be ... tsch ... don't be silly.  You know, (Yawning) I'm startin' it-I'm startin' to get some feeling back in my jaw now.	REPORTER	 Oh, sex with you is really a kafkaesque experience.	ALVY	 Oh, tsch, thank you.  H'm.	Annie Hall 
REPORTER	 I mean that as a compliment.	ALVY	 (Making sounds) I think-I think there's too much burden placed on the orgasm, you know, to make up for empty areas in life.	REPORTER	 Who said that?	ALVY	 (Rubbing his chin and shoulder) Uh, oh, I don't know.  It might have been Leopold and Loeb. (The telephone rings.  Alvy picks it up, rising up slightly from the bed, concerned, as he talks) Hello.  Oh, hi ... Uh, no, what-what's the matter?  What-what-what?  You sound terrible ... No, what- Sure I- Whatta yuh -what kind of an emergency? ... No, well, stay there.  Stay there, I'll come over right now.  I'll come over right now.  Just stay there, I'll come right over.	Annie Hall 
REPORTER	 Who said that?	ALVY	 (Rubbing his chin and shoulder) Uh, oh, I don't know.  It might have been Leopold and Loeb. (The telephone rings.  Alvy picks it up, rising up slightly from the bed, concerned, as he talks) Hello.  Oh, hi ... Uh, no, what-what's the matter?  What-what-what?  You sound terrible ... No, what- Sure I- Whatta yuh -what kind of an emergency? ... No, well, stay there.  Stay there, I'll come over right now.  I'll come over right now.  Just stay there, I'll come right over.					Annie Hall 
ALVY	 What's- It's me, open up.	ANNIE	 (Opening the door) Oh.	ALVY	 Are you okay?  What's the matter? (They look at each other, Annie sighing) Are you all right?  What-	ANNIE	 There's a spider in the bathroom.	Annie Hall 
ANNIE	 (Opening the door) Oh.	ALVY	 Are you okay?  What's the matter? (They look at each other, Annie sighing) Are you all right?  What-	ANNIE	 There's a spider in the bathroom.	ALVY	 (Reacting) What?	Annie Hall 
ANNIE	 There's a spider in the bathroom.	ALVY	 (Reacting) What?	ANNIE	 There's a big black spider in the bathroom.	ALVY	 That's what you got me here for at three o'clock in the morning, 'cause there's a spider in the bathroom?	Annie Hall 
ANNIE	 My God, I mean, you know how I am about insects.	ALVY	 (Interrupting, sighing) Oooh.	ANNIE	 -I can't sleep with a live thing crawling around in the bathroom.	ALVY	 Kill it!  For Go- What's wrong with you? Don't you have a can of Raid in the house?	Annie Hall 
ALVY	 Kill it!  For Go- What's wrong with you? Don't you have a can of Raid in the house?	ANNIE	 (Shaking her head) No.	ALVY	 (Sighing) I told you a thousand times you should always keep, uh, a lotta insect spray. You never know who's gonna crawl over.	ANNIE	 (Following him) I know, I know, and a first-aid kit and a fire extinguisher.	Annie Hall 
ANNIE	 (Shaking her head) No.	ALVY	 (Sighing) I told you a thousand times you should always keep, uh, a lotta insect spray. You never know who's gonna crawl over.	ANNIE	 (Following him) I know, I know, and a first-aid kit and a fire extinguisher.	ALVY	 Jesus.  All right, gimme a magazine. I- 'cause I'm a little tired. (While Annie goes of to find him a magazine, Alvy, still talking, glances around the apartment.  He notices a small book on a cabinet and picks it up.) You know, you, you joke with-about me, you make fun of me, but I'm prepared for anything.  An emergency, a tidal wave, an earthquake.  Hey, what is this? What?  Did you go to a rock concert?	Annie Hall 
ALVY	 (Sighing) I told you a thousand times you should always keep, uh, a lotta insect spray. You never know who's gonna crawl over.	ANNIE	 (Following him) I know, I know, and a first-aid kit and a fire extinguisher.	ALVY	 Jesus.  All right, gimme a magazine. I- 'cause I'm a little tired. (While Annie goes of to find him a magazine, Alvy, still talking, glances around the apartment.  He notices a small book on a cabinet and picks it up.) You know, you, you joke with-about me, you make fun of me, but I'm prepared for anything.  An emergency, a tidal wave, an earthquake.  Hey, what is this? What?  Did you go to a rock concert?	ANNIE	 Yeah.	Annie Hall 
ANNIE	 (Following him) I know, I know, and a first-aid kit and a fire extinguisher.	ALVY	 Jesus.  All right, gimme a magazine. I- 'cause I'm a little tired. (While Annie goes of to find him a magazine, Alvy, still talking, glances around the apartment.  He notices a small book on a cabinet and picks it up.) You know, you, you joke with-about me, you make fun of me, but I'm prepared for anything.  An emergency, a tidal wave, an earthquake.  Hey, what is this? What?  Did you go to a rock concert?	ANNIE	 Yeah.	ALVY	 Oh, yeah, really?  Really?  How-how'd you like it?  Was it-was it, I mean, did it ... was it heavy?  Did it achieve total heavy-ocity?  Or was it, uh...	Annie Hall 
ANNIE	 It was just great!	ALVY	 (Thumbing through the book) Oh, humdinger.  When- Well, I got a wonderful idea.  Why don'tcha get the guy who took you to the rock concert, we'll call him and he can come over and kill the spider.  You know, it's a-	ANNIE	 I called you; you wanna help me ... or not?  H'h?  Here.	ALVY	 (Looking down at the magazine) What is this?  What are you, since when do you read the "National Review"? What are you turning in to?	Annie Hall 
ANNIE	 I called you; you wanna help me ... or not?  H'h?  Here.	ALVY	 (Looking down at the magazine) What is this?  What are you, since when do you read the "National Review"? What are you turning in to?	ANNIE	 (Turning to a nearby chair for some gum in her pocketbook) Well, I like to try to get all points of view.	ALVY	 It's wonderful.  Then why don'tcha get William F. Buckley to kill the spider?	Annie Hall 
ALVY	 (Looking down at the magazine) What is this?  What are you, since when do you read the "National Review"? What are you turning in to?	ANNIE	 (Turning to a nearby chair for some gum in her pocketbook) Well, I like to try to get all points of view.	ALVY	 It's wonderful.  Then why don'tcha get William F. Buckley to kill the spider?	ANNIE	 (Spinning around to face him) Alvy, you're a little hostile, you know that?  Not only that, you look thin and tired.	Annie Hall 
ALVY	 It's wonderful.  Then why don'tcha get William F. Buckley to kill the spider?	ANNIE	 (Spinning around to face him) Alvy, you're a little hostile, you know that?  Not only that, you look thin and tired.	ALVY	 Well, I was in be- It's three o'clock in the morning.  You, uh, you got me outta bed, I ran over here, I couldn't get a taxi cab.  You said it was an emergency, and I didn't ge- I ran up the stairs.  Hell - I was a lot more attractive when the evening began. Look, uh, tell- Whatta you- Are you going with a right-wing rock-and roll star?  Is that possible?	ANNIE	 (Sitting down on a chair arm and looking up at Alvy) Would you like a glass of chocolate milk?	Annie Hall 
ALVY	 Well, I was in be- It's three o'clock in the morning.  You, uh, you got me outta bed, I ran over here, I couldn't get a taxi cab.  You said it was an emergency, and I didn't ge- I ran up the stairs.  Hell - I was a lot more attractive when the evening began. Look, uh, tell- Whatta you- Are you going with a right-wing rock-and roll star?  Is that possible?	ANNIE	 (Sitting down on a chair arm and looking up at Alvy) Would you like a glass of chocolate milk?	ALVY	 Hey, what am I-your son?  Whatta you mean? I-I came over TV --_	ANNIE	 (Touching his chest with her hand) I got the good chocolate, Alvy.	Annie Hall 
ALVY	 Hey, what am I-your son?  Whatta you mean? I-I came over TV --_	ANNIE	 (Touching his chest with her hand) I got the good chocolate, Alvy.	ALVY	 Yeah, where is the spider?	ANNIE	 It really is lovely.  It's in the bathroom.	Annie Hall 
ALVY	 Is he in the bathroom?	ANNIE	 (Rising from chair) Hey, don't squish it, and after it's dead, flush it down the toilet, okay? And flush it a couple o' times.	ALVY	 (Moving down the hallway to the bathroom) Darling, darling, I've been killing spiders since I was thirty, okay?	ANNIE	 (Upset, hands on her neck) Oh.  What?	Annie Hall 
ANNIE	 (Rising from chair) Hey, don't squish it, and after it's dead, flush it down the toilet, okay? And flush it a couple o' times.	ALVY	 (Moving down the hallway to the bathroom) Darling, darling, I've been killing spiders since I was thirty, okay?	ANNIE	 (Upset, hands on her neck) Oh.  What?	ALVY	 (Coming back into the living room) Very big spider.	Annie Hall 
ALVY	 (Moving down the hallway to the bathroom) Darling, darling, I've been killing spiders since I was thirty, okay?	ANNIE	 (Upset, hands on her neck) Oh.  What?	ALVY	 (Coming back into the living room) Very big spider.	ANNIE	 Yeah?	Annie Hall 
ANNIE	 (Upset, hands on her neck) Oh.  What?	ALVY	 (Coming back into the living room) Very big spider.	ANNIE	 Yeah?	ALVY	 Two ... Yeah.  Lotta, lotta trouble. There's two of 'em.	Annie Hall 
ANNIE	 Two?	ALVY	 (Opening a closet door) Yep.  I didn't think it was that big, but it's a major spider.  You got a broom or something with a-	ANNIE	 Oh, I-I left it at your house.	ALVY	 (Overlapping) -snow shovel or anything or something.	Annie Hall 
ANNIE	 Oh, I-I left it at your house.	ALVY	 (Overlapping) -snow shovel or anything or something.	ANNIE	 (Overlapping) I think I left it there, I'm sorry.	ALVY	 (Holding the racquet) Okay, let me have this.	Annie Hall 
ALVY	 (Overlapping) -snow shovel or anything or something.	ANNIE	 (Overlapping) I think I left it there, I'm sorry.	ALVY	 (Holding the racquet) Okay, let me have this.	ANNIE	 Well, what are you doing ... what are you doing with-	Annie Hall 
ANNIE	 (Overlapping) I think I left it there, I'm sorry.	ALVY	 (Holding the racquet) Okay, let me have this.	ANNIE	 Well, what are you doing ... what are you doing with-	ALVY	 Honey, there's a spider in your bathroom the size of a Buick.	Annie Hall 
ALVY	 Hey, what is this?  You got black soap?	ANNIE	 (Off screen) It's for my complexion.	ALVY	 Whatta-whatta yuh joining a minstrel show? Geez. (Alvy turns and starts swapping the racquet over the shelf, knocking down articles and breaking glass) Don't worry! (He continues to swat the racquet all over the bathroom.  He finally moves out of the room, hands close to his body.  He walks into the other room, where Annie is sitting in a corner of her bed leaning against the wall) I did it!  I killed them both.  What-what's the matter?  Whatta you- (Annie is sobbing, her band over her face) -whatta you sad about?  You- What'd you want me to do?  Capture 'em and rehabilitate 'em?	ANNIE	 (Sobbing and taking Alvy's arm) Oh, don't go, okay?  Please.	Annie Hall 
ANNIE	 (Off screen) It's for my complexion.	ALVY	 Whatta-whatta yuh joining a minstrel show? Geez. (Alvy turns and starts swapping the racquet over the shelf, knocking down articles and breaking glass) Don't worry! (He continues to swat the racquet all over the bathroom.  He finally moves out of the room, hands close to his body.  He walks into the other room, where Annie is sitting in a corner of her bed leaning against the wall) I did it!  I killed them both.  What-what's the matter?  Whatta you- (Annie is sobbing, her band over her face) -whatta you sad about?  You- What'd you want me to do?  Capture 'em and rehabilitate 'em?	ANNIE	 (Sobbing and taking Alvy's arm) Oh, don't go, okay?  Please.	ALVY	 (Sitting down next to her) Whatta you mean, don't go?  Whatta-whatta -what's the matter?  Whatta you expecting -termites?  What's the matter?	Annie Hall 
