ADDISON'S VOICE	 Having covered in tedious detail not only the history of the Sarah Siddons Society, but also the history of acting since Thespis first stepped out of the chorus line - our distinguished chairman has finally arrived at our reason for being here...	AGED ACTOR	 I have been proud and privileged to have spent my life in the Theater - "a poor player ... that struts and frets his hour upon the stage" - and I have been honored to be, for forty years, Chief Promoter of the Sarah Siddons Society... (he lifts the Sarah Siddons Award from its altar) Thirty-nine times have I placed in deserving hands this highest honor the Theater knows... (he grows a bit arch, he uses his eyebrows) Surely no actor is older than I - I have earned my place out of the sun... (indulgent laughter) ... and never before has this Award gone to anyone younger than its recipient tonight. How fitting that it should pass from my hands to hers...	AGED ACTOR	 Such young hands. Such a young lady. Young in years, but whose heart is as old as the Theater...	AGED ACTOR	 Some of us a privileged to know her. We have seen beyond the beauty and artistry-	All-About-Eve
LLOYD	 It's about time the piano realized it has not written the concerto!	MARGO	 (quiet menace) And you, I take it, are the Paderewski who plays his concerto on me, the piano? (Bill waves his cigarette; he's noncommittal) Where is Princess Fire-and-Music?	BILL	 Who?	MARGO	 The kid. Junior.	All-About-Eve
MARGO	 The kid. Junior.	BILL	 (looks lazily) Gone.	MARGO	 I must have frightened her away.	BILL	 I wouldn't be surprised. Sometimes you frighten me.	All-About-Eve
BILL	 I wouldn't be surprised. Sometimes you frighten me.	MARGO	 (paces up and down) Poor little flower. Just dropped her petals and folded her tent...	BILL	 Don't mix your metaphors.	MARGO	 I mix what I like.	All-About-Eve
MARGO	 Such nonsense, what do you all take me for - little Nell from the country? Been my understudy for over a week without my knowing, carefully hidden no doubt-	BILL	 (sits up) Now don't get carried away-	MARGO	 (going right on) - shows up for an audition when everyone knew I'd be here... and gives a performance! Out of nowhere - gives a performance!	BILL	 You've been all through that with Lloyd-	All-About-Eve
BILL	 (sits up) Now don't get carried away-	MARGO	 (going right on) - shows up for an audition when everyone knew I'd be here... and gives a performance! Out of nowhere - gives a performance!	BILL	 You've been all through that with Lloyd-	MARGO	 The playwright doesn't make the performance - and it doesn't just happen! And this one didn't - full of fire and music and whatnot, it was carefully rehearsed I have no doubt, over and over, full of those Bill Sampson touches!	All-About-Eve
BILL	 No, I'll tell it to you! For the last time, I'll tell it to you. Because you've got to stop hurting yourself, and me, and the two of us by these paranoiac tantrums!	MARGO	 (struggling) That word again! I don't even know what it means...	BILL	 (firmly) It's time you found out. I love you. (Margo says "Ha!") I love you. You're a beautiful and intelligent woman- (Margo says "A body with a voice") - a beautiful and intelligent woman and a great actress- (he waits; Margo says nothing) - at the peak of her career. You have every reason for happiness- (Margo says "Except happiness") - every reason, but due to some strange, uncontrollable, unconscious drive you permit the slightest action of a kid- (Margo sneers "Kid!") - kid like Eve to turn you into a hysterical, screaming harpy! Now once and for all, stop it!	MARGO	 It's obvious you're not a woman.	All-About-Eve
MARGO	 (struggling) That word again! I don't even know what it means...	BILL	 (firmly) It's time you found out. I love you. (Margo says "Ha!") I love you. You're a beautiful and intelligent woman- (Margo says "A body with a voice") - a beautiful and intelligent woman and a great actress- (he waits; Margo says nothing) - at the peak of her career. You have every reason for happiness- (Margo says "Except happiness") - every reason, but due to some strange, uncontrollable, unconscious drive you permit the slightest action of a kid- (Margo sneers "Kid!") - kid like Eve to turn you into a hysterical, screaming harpy! Now once and for all, stop it!	MARGO	 It's obvious you're not a woman.	BILL	 I've been aware of that for some time.	All-About-Eve
BILL	 Come on, get up. I'll buy you a drink.	MARGO	 (with dignity) I admit I may have seen better days, but I am still not to be had for the price of a cocktail - like a salted peanut.	BILL	 (laughs) Margo, let's make peace.	MARGO	 The terms are too high. Unconditional surrender.	All-About-Eve
MARGO	 (with dignity) I admit I may have seen better days, but I am still not to be had for the price of a cocktail - like a salted peanut.	BILL	 (laughs) Margo, let's make peace.	MARGO	 The terms are too high. Unconditional surrender.	BILL	 Just being happy? Just stopping all this nonsense about Eve - and Eve and me?	All-About-Eve
MARGO	 It's not nonsense.	BILL	 But if I tell you it is - as I just did. Were you listening to me? (Margo nods) Isn't that enough?	MARGO	 I wish it were.	BILL	 Then what would be enough? (Margo doesn't answer) If we were married?	All-About-Eve
MARGO	 I wish it were.	BILL	 Then what would be enough? (Margo doesn't answer) If we were married?	MARGO	 I wouldn't want you to marry me just to prove something.	BILL	 You've had so many reasons for not wanting to marry me... Margo, tell me what's behind all this.	All-About-Eve
MARGO	 I - I don't know, Bill. Just a feeling, I don't know...	BILL	 I think you do know but you won't or can't tell me. (Margo doesn't say) I said before it was going to be my last try, and I meant it. I can't think of anything else to do. I wish I could. (a pause) We usually wind up screaming and throwing things as the curtain comes down. Then it comes up again and everything's fine. But not this time. (he takes a breath) You know there isn't a playwright in the world who could make me believe this would happen between two adult people. Goodbye, Margo.	MARGO	 Bill... (he stops) ... where are you going? To find Eve?	BILL	 (smiles grimly) That suddenly makes the whole thing believable.	All-About-Eve
BILL	 I think you do know but you won't or can't tell me. (Margo doesn't say) I said before it was going to be my last try, and I meant it. I can't think of anything else to do. I wish I could. (a pause) We usually wind up screaming and throwing things as the curtain comes down. Then it comes up again and everything's fine. But not this time. (he takes a breath) You know there isn't a playwright in the world who could make me believe this would happen between two adult people. Goodbye, Margo.	MARGO	 Bill... (he stops) ... where are you going? To find Eve?	BILL	 (smiles grimly) That suddenly makes the whole thing believable.			All-About-Eve
MARGO	 Bill... (he stops) ... where are you going? To find Eve?	BILL	 (smiles grimly) That suddenly makes the whole thing believable.					All-About-Eve
KAREN'S VOICE	 On the day of the audition, my biggest worry was to keep a banana looking part of an eggplant... then Lloyd came home. (in the b.g., Lloyd lets himself in) It was right after his brawl with Margo...	KAREN	 Lloyd, what happened...?	LLOYD	 Up to here! That's where I've got it - up to here! Of all the star ridden, presumptuous, hysterical-			All-About-Eve
KAREN	 It's just possible she didn't...	LLOYD	 Of course she knew! For one thing, Addison told her how superbly Eve had read the part-! (suddenly softening) Karen, let me tell you about Eve. She's got everything - a born actress. Sensitive, understanding, young, exciting, vibrant-	KAREN	 - don't run out of adjectives, dear.	LLOYD	 - everything a playwright first thinks of wanting to write about... until his play becomes a vehicle for Miss Channing...	All-About-Eve
LLOYD	 Margo. Margo's great. She knows it. That's the trouble. She can play Peck's Bad Boy all she wants, and who's to stop her? Who's to give her that boot in the rear she needs and deserves?	KAREN	 (murmurs) It's going to be a cozy weekend.	LLOYD	 (pauses) What is?	KAREN	 We're driving out to the country tomorrow night. Just the four of us. Bill, Margo, you and I...	All-About-Eve
KAREN	 (murmurs) It's going to be a cozy weekend.	LLOYD	 (pauses) What is?	KAREN	 We're driving out to the country tomorrow night. Just the four of us. Bill, Margo, you and I...	LLOYD	 Well. We've spent weekends before with nobody talking... (continues up stairs) ... just be sure to lock up all blunt instruments and throwable objects...	All-About-Eve
KAREN	 We're driving out to the country tomorrow night. Just the four of us. Bill, Margo, you and I...	LLOYD	 Well. We've spent weekends before with nobody talking... (continues up stairs) ... just be sure to lock up all blunt instruments and throwable objects...	KAREN'S VOICE	 Newton - they say, thought of gravity by getting hit on the head by an apple. And the man who invented the steam engine, he was watching a tea-kettle... but not me. My Big Idea came to me just sitting on a couch...	KAREN'S VOICE	 That boot in the rear to Margo. Heaven knows she had one coming. From me, from Lloyd, from Eve, Bill, Max, and so on - we'd all felt those size fives of hers often enough... but how? The answer was buzzing around me like a fly...	All-About-Eve
KAREN'S VOICE	 ... and no reason why she shouldn't be told about it - in time.	KAREN	 (into phone) Hello... will you call Miss Eve Harrington to the phone, please? Not at all... thank you.	DISSOLVE TO:				All-About-Eve
LLOYD	 But it can't be! We can't be out of gas! I filled it myself yesterday! (to Karen) Wasn't it full when you drove to Brewster this morning?	KAREN	 (very low) I guess I didn't look. You know I don't pay attention to those things...	LLOYD	 Incredible.	MARGO	 (crisply) How much time have we?	All-About-Eve
LLOYD	 Incredible.	MARGO	 (crisply) How much time have we?	KAREN	 Roughly ten minutes.	MARGO	 How far to the station?	All-About-Eve
MARGO	 Any houses or farms around where we can borrow gas?	KAREN	 (looking) None in sight, there aren't many along this back road...	MARGO	 Not many car either, not much chance of a lift...	LLOYD	 Well. No sense my just sitting here. I'm going to walk up about half a mile, just in case.	All-About-Eve
KAREN	 You'll break your neck on that ice.	LLOYD	 (grins) What a way to die - trying to get an actress to the theater in time. Tell Max I want to be buried with royalties...	KAREN	 Don't joke about such things.	MARGO	 (quietly) How fortunate that I have an understudy so ready, so willing and so able to go on.	All-About-Eve
KAREN	 Don't joke about such things.	MARGO	 (quietly) How fortunate that I have an understudy so ready, so willing and so able to go on.	LLOYD	 The audience will want its money refunded, believe me.	MARGO	 Thank you, Lloyd. Godspeed.	All-About-Eve
MARGO	 It seems to me that walking, for most people, is not very dangerous.	KAREN	 (smiles) I just never think of Lloyd as anywhere but indoors and anything but sitting down.	MARGO	 Be brave. He'll come back - with or without gas.	MARGO	 Do you want it on?	All-About-Eve
KAREN	 Well...	MARGO	 Let's not fumble for excuses, not here and now with my hair down. At best, let's say I've been oversensitive to... well, to the fact that she's so young - so feminine and helpless. To so many things I want to be for Bill... funny business, a woman's career. The things you drop on your way up the ladder, so you can move faster. You forget you'll need them again when you go back to being a woman. That's one career all females have in common - whether we like it or not - being a woman. Sooner or later we've all got to work at it, no matter what other careers we've had or wanted... and, in the last analysis, nothing is any good unless you can look up just before dinner or turns around in bed - and there he is. Without that, you're not woman. You're something with a French provincial office or a book full of clippings - but you're not a woman... (she smiles at Karen) ... slow curtain. The end.	KAREN	 Margo. (she hesitates) Margo, I want you to know how sorry I am about this...	MARGO	 About what?	All-About-Eve
MARGO	 Let's not fumble for excuses, not here and now with my hair down. At best, let's say I've been oversensitive to... well, to the fact that she's so young - so feminine and helpless. To so many things I want to be for Bill... funny business, a woman's career. The things you drop on your way up the ladder, so you can move faster. You forget you'll need them again when you go back to being a woman. That's one career all females have in common - whether we like it or not - being a woman. Sooner or later we've all got to work at it, no matter what other careers we've had or wanted... and, in the last analysis, nothing is any good unless you can look up just before dinner or turns around in bed - and there he is. Without that, you're not woman. You're something with a French provincial office or a book full of clippings - but you're not a woman... (she smiles at Karen) ... slow curtain. The end.	KAREN	 Margo. (she hesitates) Margo, I want you to know how sorry I am about this...	MARGO	 About what?	KAREN	 (indicating their predicament) This. I can't tell you how sorry I am!	All-About-Eve
MARGO	 About what?	KAREN	 (indicating their predicament) This. I can't tell you how sorry I am!	MARGO	 Don't give it another thought, one of destiny's many pranks. After all, you didn't personally drain the gasoline out of the tank...			All-About-Eve
ADDISON'S VOICE	 ... about which the management knew nothing until they were forced to ring up the curtain at nine o'clock. Coincidence. Also every indication of intrigue, skulduggery and fraud...	BILL	 (from within) ... you were better than all right, kid, you gave a performance, you rang a bell-					All-About-Eve
BILL	 (continuing) - little things here and there, it doesn't matter. You can be proud of yourself, you've got a right to be.	EVE	 (quietly) Are you proud of me, Bill?	BILL	 I'll admit I was worried when Max called. I had my doubts.	EVE	 You shouldn't have had any doubts.	All-About-Eve
EVE	 Everything.	BILL	 (lightly) The names I've been called. But never Svengali. (he pats her shoulder) Good luck.	EVE	 Don't run away, Bill.	BILL	 (stops) From what would I be running?	All-About-Eve
EVE	 Don't run away, Bill.	BILL	 (stops) From what would I be running?	EVE	 You're always after truth - on the stage. What about off?	BILL	 (curiously) I'm for it.	All-About-Eve
EVE	 You're always after truth - on the stage. What about off?	BILL	 (curiously) I'm for it.	EVE	 Then face it. I have. Since that first night - here - in the dressing room.	BILL	 (smiles) When I told you what every young actress should know.	All-About-Eve
EVE	 Then face it. I have. Since that first night - here - in the dressing room.	BILL	 (smiles) When I told you what every young actress should know.	EVE	 When you told me that whatever I became, it would be because of you-	BILL	 Your make-up's a little heavy.	All-About-Eve
EVE	 - and for you.	BILL	 (slowly) You're quite a girl.	EVE	 You think?	BILL	 I'm in love with Margo. Hadn't you heard?	All-About-Eve
EVE	 Find out.	BILL	 (deliberately) Only thing, what I go after, I want to go after. I don't want it to come after me.	BILL	 Don't cry. Just score it as an incomplete forward pass.	ADDISON	 May I come in?	All-About-Eve
EVE	 Certainly, Mr. deWitt...	ADDISON	 (entering) I expected to find this little room overcrowded, with a theater full of people at your feet...	EVE	 I consider myself lucky they didn't throw things.	ADDISON	 Of course your performance was no surprise to me. After the other day I regarded it as no more than - a promised fulfilled.	All-About-Eve
ADDISON	 After you change, if you're not busy elsewhere, we can have supper.	EVE	 (from the bathroom) I'd love to! Or should I pretend I'm busy?	ADDISON	 (smiling) Let's have a minimum of pretending. I'll want to do a column about you-	EVE	 I'm not enough for a paragraph.	All-About-Eve
EVE	 (from the bathroom) I'd love to! Or should I pretend I'm busy?	ADDISON	 (smiling) Let's have a minimum of pretending. I'll want to do a column about you-	EVE	 I'm not enough for a paragraph.	ADDISON	 - perhaps more than one. There's so much I want to know. I've heard your story in bits and pieces... your home in Wisconsin, your tragic marriage, your financial attachment to Margo - it started in San Francisco, didn't it? (no answer; Addison smiles) I say - your idolatry of Margo started in San Francisco, didn't it?	All-About-Eve
EVE	 I'm not enough for a paragraph.	ADDISON	 - perhaps more than one. There's so much I want to know. I've heard your story in bits and pieces... your home in Wisconsin, your tragic marriage, your financial attachment to Margo - it started in San Francisco, didn't it? (no answer; Addison smiles) I say - your idolatry of Margo started in San Francisco, didn't it?	EVE	 That's right.	ADDISON	 San Francisco. An oasis of civilization in the California desert. Tell me, do you share my high opinion of San Francisco?	All-About-Eve
ADDISON	 And that memorable night when Margo first dazzled you from the stage - which theater was it in San Francisco? Was it - the Shubert?	EVE	 (a slight pause) Yes. The Shubert.	ADDISON	 (grins happily) A fine old theater, the Shubert. Full of tradition, untouched by the earthquake - so sorry - fire... by the way, what was your husband's name?	EVE	 Eddie...	All-About-Eve
EVE	 (a slight pause) Yes. The Shubert.	ADDISON	 (grins happily) A fine old theater, the Shubert. Full of tradition, untouched by the earthquake - so sorry - fire... by the way, what was your husband's name?	EVE	 Eddie...	ADDISON	 Eddie what?	All-About-Eve
ADDISON	 I can wait. Where would you like to go? We'll make this a special night...	EVE	 (trustingly) You take charge.	ADDISON	 I believe I will.			All-About-Eve
ADDISON	 She was magnificent.	KAREN	 (pleased) Then you've heard too.	ADDISON	 I was there. An eyewitness.	KAREN	 (staggered) You were there? At the play - last night?	All-About-Eve
ADDISON	 I was there. An eyewitness.	KAREN	 (staggered) You were there? At the play - last night?	ADDISON	 (smiles) A happy coincidence.	EVE	 (quickly) We're having lunch with a movie talent scout.	All-About-Eve
KAREN	 (staggered) You were there? At the play - last night?	ADDISON	 (smiles) A happy coincidence.	EVE	 (quickly) We're having lunch with a movie talent scout.	KAREN	 They certainly don't waste much time.	All-About-Eve
ADDISON	 (smiles) A happy coincidence.	EVE	 (quickly) We're having lunch with a movie talent scout.	KAREN	 They certainly don't waste much time.	EVE	 Nothing definite yet - it's just to have lunch.	All-About-Eve
ADDISON	 From the smartness of your dress, I take it your luncheon companion is a lady?	KAREN	 (smiles) Margo.	ADDISON	 Margo? Lunching in public?	KAREN	 It's new Margo. But she's just as late as the old one.	All-About-Eve
MARGO	 (declaiming) "... my hat which has, lo, these many seasons become more firmly rooted about my ears, is lifted to Miss Harrington. I am once more available for dancing in the streets and shouting from the housetops." ... I thought that one went out with Woollcott... (she skips part of the column) Down here... here, listen to this- "... Miss Harrington had much to tell - and these columns shall report her faithfully - about the lamentable practice in our Theater of permitting, shall we say - mature - actresses to continue playing roles requiring a youth and vigor of which they retain but a dim memory-"	KAREN	 I just can't believe it.	MARGO	 It get better! "- About the understandable reluctance on the part of our entrenched First Ladies of the Stage to encourage, shall we say - younger - actresses; about Miss Harrington's own long and unsupported struggle for opportunity-"			All-About-Eve
KAREN	 I can't believe Eve said those things!	MARGO	 (pacing) In this rat race, everybody's guilty till they're proved innocent! One of the differences between the Theater and civilization... (she hurls the paper away) ... what gets me is how all of those papers in town happened to catch that particular performance!	KAREN	 (weakly) Lloyd says it's a publicity release...	MARGO	 The little witch must have had Indians runners out snatching critics out of bars, steam rooms and museums or wherever they hole up... well, she won't get away with it! Nor will Addison deWitt and his poison pen! If Equity or my lawyer can't or won't do anything about it, I will personally stuff that pathetic little lost lamb down Mr. deWitt's ugly throat...	All-About-Eve
MARGO	 (pacing) In this rat race, everybody's guilty till they're proved innocent! One of the differences between the Theater and civilization... (she hurls the paper away) ... what gets me is how all of those papers in town happened to catch that particular performance!	KAREN	 (weakly) Lloyd says it's a publicity release...	MARGO	 The little witch must have had Indians runners out snatching critics out of bars, steam rooms and museums or wherever they hole up... well, she won't get away with it! Nor will Addison deWitt and his poison pen! If Equity or my lawyer can't or won't do anything about it, I will personally stuff that pathetic little lost lamb down Mr. deWitt's ugly throat...	BILL	 (quietly) I came as soon as I read that piece of filth. I ran all the way...	All-About-Eve
MARGO	 The little witch must have had Indians runners out snatching critics out of bars, steam rooms and museums or wherever they hole up... well, she won't get away with it! Nor will Addison deWitt and his poison pen! If Equity or my lawyer can't or won't do anything about it, I will personally stuff that pathetic little lost lamb down Mr. deWitt's ugly throat...	BILL	 (quietly) I came as soon as I read that piece of filth. I ran all the way...	BILL	 Bill's here, baby. Everything's all right, now...	KAREN	 I guess at this point I'm what the French call 'de trop'...	All-About-Eve
KAREN	 I guess at this point I'm what the French call 'de trop'...	BILL	 (smiles) Maybe just a little around the edges.					All-About-Eve
LLOYD	 (is saying) - it's Addison, from start to finish, it drips with his brand of venom... taking advantage of a kid like that, twisting her words, making her say what he wanted her to say-	KAREN	 Where'd you get all that information?	LLOYD	 (put out his cigarette) Eve.			All-About-Eve
KAREN	 Where'd you get all that information?	LLOYD	 (put out his cigarette) Eve.	KAREN	 Eve?	LLOYD	 She's been to see me, as a matter of fact she left just before you came in - you just missed her...	All-About-Eve
KAREN	 That was a pity...	LLOYD	 (gets up) She wanted to explain about her interview, wanted to apologize to someone - and didn't dare face Margo...	KAREN	 I wonder why.	LLOYD	 She started to tell me all about it - and she couldn't finish, she cried so...	All-About-Eve
KAREN	 That's quite a change of subject.	LLOYD	 (walks again) What with taxes coming up - and since I'm a playwright and not an oil well operator - well, I've been thinking...	KAREN	 I'm trying hard to follow you.	LLOYD	 If - instead of waiting until next season to do 'Footsteps on the Ceiling', which is in pretty good shape - and if Margo can be talked into going on tour with 'Aged in Wood' - we could put 'Footsteps...' into production right away...	All-About-Eve
LLOYD	 If we could cast it properly, that is...	KAREN	 (carefully) Maybe get some younger actress for the part? Someone who'd look the part as well as play it?	LLOYD	 (smiles) You've got to admit it would be a novelty.	KAREN	 Now you're quoting Addison. Or Eve.	All-About-Eve
KAREN	 (carefully) Maybe get some younger actress for the part? Someone who'd look the part as well as play it?	LLOYD	 (smiles) You've got to admit it would be a novelty.	KAREN	 Now you're quoting Addison. Or Eve.	LLOYD	 Eve did mention the play, you know. But just in passing - she's never ask to play a part like "Cora," she'd never have the nerve...	All-About-Eve
KAREN	 With gestures, of course.	LLOYD	 (wistfully) For once, to write something and have it realized completely. For once, not to compromise-	KAREN	 Lloyd Richards, you are not to consider giving that contemptible little worm the part of "Cora."	LLOYD	 Now just a minute-	All-About-Eve
KAREN	 Margo Channing has not been exactly a compromise all these years, half the playwrights in the world would give their shirts for that particular compromise!	LLOYD	 (angry) Now just a minute!	KAREN	 It strikes me that Eve's disloyalty and ingratitude must be contagious!	LLOYD	 All this fuss and hysteria because an impulsive kid got carried away by excitement and the conniving of a professional manure slinger named deWitt! She apologized, didn't she?	All-About-Eve
KAREN	 The cynicism you refer to, I acquired the day I discovered I was different from little boys!	LLOYD	 Hello! (he quiets down) ... hi, Margo... no, not at all, Karen and I were just chatting... hmm?... why - why, yes, I'm sure we can and I'm sure we'd love to... right... 11:45ish. See you then...	LLOYD	 Margo - and Bill - want us to meet them at the Cub Room tonight, after theater. For a bottle of wine.	KAREN	 (smiles) Margo in the Cub Room. I couldn't be more surprised if she'd said Grant's Tomb.	All-About-Eve
LLOYD	 Margo - and Bill - want us to meet them at the Cub Room tonight, after theater. For a bottle of wine.	KAREN	 (smiles) Margo in the Cub Room. I couldn't be more surprised if she'd said Grant's Tomb.	LLOYD	 I'm glad Bill's back.	KAREN	 They'd die without each other.	All-About-Eve
KAREN	 Such as?	LLOYD	 (grins) You - for one. I told her you were set on Margo playing the part - and I certainly wouldn't make a change without your approval.	KAREN	 That's fine. Fine and dandy. I'd enjoy nothing more. Just refer all of Miss Harrington's future requests to me...			All-About-Eve
LLOYD	 It's been quite a night. I understand that your understudy - Miss Harrington - has given her notice.	MARGO	 (eyes still on Bill) Too bad.	BILL	 (eyes still on Margo) I'm broken up about it...	LLOYD	 For some reason you can't just pick up champagne and drink it. Somebody's got to be very witty about a toast. (he lifts his glass) For instance...	All-About-Eve
MARGO	 (eyes still on Bill) Too bad.	BILL	 (eyes still on Margo) I'm broken up about it...	LLOYD	 For some reason you can't just pick up champagne and drink it. Somebody's got to be very witty about a toast. (he lifts his glass) For instance...	BILL	 (abruptly) I'm going to propose the toast. Without wit. With all my heart.	All-About-Eve
BILL	 (eyes still on Margo) I'm broken up about it...	LLOYD	 For some reason you can't just pick up champagne and drink it. Somebody's got to be very witty about a toast. (he lifts his glass) For instance...	BILL	 (abruptly) I'm going to propose the toast. Without wit. With all my heart.	BILL	 To Margo. To my bride-to-be.	All-About-Eve
LLOYD	 For some reason you can't just pick up champagne and drink it. Somebody's got to be very witty about a toast. (he lifts his glass) For instance...	BILL	 (abruptly) I'm going to propose the toast. Without wit. With all my heart.	BILL	 To Margo. To my bride-to-be.	MARGO	 Glory Hallelujah.	All-About-Eve
KAREN	 When? When are you going to do it?	BILL	 Tomorrow we meet at City Hall at ten- (to Margo) - and you're going to be on time.	MARGO	 Yes, sir.	LLOYD	 City Hall, that's for prize fighters, and reporters - I see a cathedral, a bishop, banks of flowers...	All-About-Eve
LLOYD	 Three days, that's for the bourgeois - I see a midnight elopement, waking up a village person...	KAREN	 (to Margo) What are you going to wear?	MARGO	 Something simple. A fur coat over a nightgown...	BILL	 The point is - in the cathedral, a ball park or a penny arcade - we want to have you two beside us our nearest and dearest friends.	All-About-Eve
BILL	 The point is - in the cathedral, a ball park or a penny arcade - we want to have you two beside us our nearest and dearest friends.	LLOYD	 There are very few moments in life as good as this. Let's remember it. (he lifts his glass) To each of us and all of us... never have we been more close - may we never be farther apart.	WAITER	 Mrs. Richards?	KAREN	 Yes?	All-About-Eve
MARGO	 Lloyd, I want you to be big about this... the world is full of love tonight, no woman is safe...	KAREN	 (angrily) This beats all world's records for running, standing and jumping gall!	MARGO	 (reading) "Please forgive me for butting into what seems such a happy occasion - but it's most important that I speak with you. Please" - it's underlined - "meet me in the Ladies' Room. Eve."	BILL	 I understand she is now the understudy in there.	All-About-Eve
KAREN	 (angrily) This beats all world's records for running, standing and jumping gall!	MARGO	 (reading) "Please forgive me for butting into what seems such a happy occasion - but it's most important that I speak with you. Please" - it's underlined - "meet me in the Ladies' Room. Eve."	BILL	 I understand she is now the understudy in there.	MARGO	 (looking about) Pass me the empty bottle. I may find her... why, look. There's Rasputin.	All-About-Eve
BILL	 I understand she is now the understudy in there.	MARGO	 (looking about) Pass me the empty bottle. I may find her... why, look. There's Rasputin.	MARGO	 Encore du champagne.	CAPTAIN	 More champagne, Miss Channing?	All-About-Eve
MARGO	 That's what I said, bub.	LLOYD	 (to Karen) After all, maybe she just wants to apologize...	KAREN	 I have no possible interest in anything she'd have to say.	BILL	 But what could she say? That's what fascinates me...	All-About-Eve
EVE	 I was wondering whether you'd come at all..	KAREN	 Don't get up. (she smiles grimly) And don't act as if I were the queen mother.	EVE	 I don't expect you to be pleasant.	KAREN	 I don't intend to be.	All-About-Eve
KAREN	 - and easy or not, I won't believe a word.	EVE	 Why shouldn't you? (a pause) Please sit down.	EVE	 You know, I've always considered myself a very clever girl. Smart. Good head on my shoulders, that sort of thing, never the wrong word at the wrong time... but then, I'd never met Addison deWitt. (another pause) I remember once I had a tooth pulled. They gave me some anaesthetic - I don't remember the name - and it affected me in a strange way. I heard myself saying things I wasn't even thinking... as if my mind were someplace outside of my body, and couldn't control what I did or said-	KAREN	 (leading her on) - and you felt just like that talking to Addison.	All-About-Eve
EVE	 You know, I've always considered myself a very clever girl. Smart. Good head on my shoulders, that sort of thing, never the wrong word at the wrong time... but then, I'd never met Addison deWitt. (another pause) I remember once I had a tooth pulled. They gave me some anaesthetic - I don't remember the name - and it affected me in a strange way. I heard myself saying things I wasn't even thinking... as if my mind were someplace outside of my body, and couldn't control what I did or said-	KAREN	 (leading her on) - and you felt just like that talking to Addison.	EVE	 (nods) In a way. You find yourself trying to say what you mean, but somehow the words change - and they become his words - and suddenly you're not saying what you mean, but what he means-	KAREN	 (sharply) Do you expect me to believe that you didn't say any of those things - that they were all Addison?	All-About-Eve
KAREN	 (leading her on) - and you felt just like that talking to Addison.	EVE	 (nods) In a way. You find yourself trying to say what you mean, but somehow the words change - and they become his words - and suddenly you're not saying what you mean, but what he means-	KAREN	 (sharply) Do you expect me to believe that you didn't say any of those things - that they were all Addison?	EVE	 No! I don't expect you to believe anything. Except that the responsibility is mine. And the disgrace.	All-About-Eve
EVE	 (nods) In a way. You find yourself trying to say what you mean, but somehow the words change - and they become his words - and suddenly you're not saying what you mean, but what he means-	KAREN	 (sharply) Do you expect me to believe that you didn't say any of those things - that they were all Addison?	EVE	 No! I don't expect you to believe anything. Except that the responsibility is mine. And the disgrace.	KAREN	 Let's not get over-dramatic.	All-About-Eve
KAREN	 Let's not get over-dramatic.	EVE	 (smiles grimly) You've really got a low opinion of me, haven't you? We'll I'll give you some pleasant news. I've been told off in no uncertain terms all over town. Miss Channing should be happy to hear that. To know how loyal her friends are - how much more loyal they are than she had a right to expect me to be...	KAREN	 Eve... don't cry.	EVE	 (turned away) I'm not crying.	All-About-Eve
KAREN	 Eve... don't cry.	EVE	 (turned away) I'm not crying.	KAREN	 Tell me. How did your lunch turn out - with the man from Hollywood?	EVE	 Some vague promises of a test, that's all - if a particular part should come along, one of those things-	All-About-Eve
EVE	 I'll never get over it.	KAREN	 (smiles) Yes, you will. You Theater people always do. Nothing is forever in the Theater. Love or hate, success or failure - whatever it is, it's here, it flares up and burns hot - and then it's gone.	EVE	 I wish I could believe that.	KAREN	 Give yourself time. Don't worry too much about what people think, you're very young and very talented... (she gets up, her hand still on Eve's shoulder) ... and, believe it or not, if there's anything I can do-	All-About-Eve
EVE	 I wish I could believe that.	KAREN	 Give yourself time. Don't worry too much about what people think, you're very young and very talented... (she gets up, her hand still on Eve's shoulder) ... and, believe it or not, if there's anything I can do-	EVE	 There is something.	KAREN	 I think I know...	All-About-Eve
KAREN	 Over my dead body...	EVE	 (cold, relentless) That won't be necessary. Addison knows how Margo happen to miss that performance - how I happened to know she'd miss it in time to call him and notify every paper in town... (Karen stops struggling) ... it's quite a story. Addison could make quite a thing of it - imagine how snide and vicious he could get and still write nothing but the truth. I had a time persuading him... (she smiles, now) ... you'd better sit down. You look a bit wobbly. (Karen sits) If I play "Cora," Addison will never tell what happened - in or out of print. A simple exchange of favors. And I'm so happy I can do something for you - at long last... (Karen covers her face with her hands) Your friendship with Margo - your deep, close friendship - what would happen to it, do you think, if she knew the chap trick you'd played on her - for my benefit? And you and Lloyd - how long, even in the Theater, before people forgot what happened - and trusted you again? (now Eve gets up) No... it would be so much easier on everyone concerned, if I were to play "Cora." And so much better theater, too...	KAREN	 A part in a play. You'd do all that - just for a part in a play.	EVE	 (smiles) I'd do much more - for a part that good.	All-About-Eve
KAREN	 A part in a play. You'd do all that - just for a part in a play.	EVE	 (smiles) I'd do much more - for a part that good.					All-About-Eve
EVE	 Just some coffee.	ADDISON	 (pours) I'm not surprised. After all that humble pie...	EVE	 Nothing of the kind. Karen and I had a nice talk.	ADDISON	 Heart to heart? Woman to woman? Including a casual reference to the part of "Cora" - and your hopes of playing it.	All-About-Eve
