WILLIAM	 - so Livia -	ELAINE	 -- killed everyone off so her son Tiberius could inherit the throne. (thoughtful pause) Just like Nixon.	ELAINE (CONT'D)	 Anita, is that you?	ANITA'S VOICE	 Hey Mom!  I already ate.	Almost Famous 
PENNY	 Backwards?	WILLIAM	 (flustered) I don't know.  I just thought we could hang out, maybe do some stuff back home, regular stuff, get to know each other better... and then I'd see you pee.  I mean, that's the way I usually do it.	PENNY	 You're one of us.  It's no big deal.	WILLIAM	 I'm not one of you.	Almost Famous 
PENNY	 Famous people are just more interesting.	WILLIAM	 (carefully) Well, I would be worried that they were using me.  And not that anybody's using you, but -	PENNY	 Boy, if this was the real world and some guy talked to me like that -	WILLIAM	 Let me finish. (continuing) I'm not famous.... but you could always use me.   If anything happens.  And I would never use you.  Even if I got famous.  So you know, you always have that from me... in the real world.  If you ever have to go back there, for anything.	Almost Famous 
PENNY	 Boy, if this was the real world and some guy talked to me like that -	WILLIAM	 Let me finish. (continuing) I'm not famous.... but you could always use me.   If anything happens.  And I would never use you.  Even if I got famous.  So you know, you always have that from me... in the real world.  If you ever have to go back there, for anything.	SAPPHIRE	 Your time has come.	WILLIAM	 Did he call? (realizes their intention) What are you -- stop it -- we're talking here.	Almost Famous 
SAPPHIRE	 Your time has come.	WILLIAM	 Did he call? (realizes their intention) What are you -- stop it -- we're talking here.	SAPPHIRE	 Pants him.  Opie must die.			Almost Famous 
SAPPHIRE	 (half-English accent) Hello.  Hi, Ben-Fong-Torres from Rolling Stone.	WILLIAM	 (lowers voice) Hello.					Almost Famous 
POLEXIA	 Man, I need some -	BEN	 (jocular but tough) Now listen.  Get it together.  We're both professionals, I don't have to tell you this.  You're not out there to join the party -- we already have one Hunter Thompson.  You're out there to interview and Report.  You got me? This isn't Creem Magazine, it's Rolling Stone.  We need this story in four days.  Now I want to know how it's shaping up.	WILLIAM	 It's a think-piece about a mid-level band grappling with their limitations in the face of the harsh glare of success.	BEN	 (pause) I like what we're saying.  Let me try and get you a thousand more words. It's in consideration for the cover, but don't tell the band.	Almost Famous 
WILLIAM	 It's a think-piece about a mid-level band grappling with their limitations in the face of the harsh glare of success.	BEN	 (pause) I like what we're saying.  Let me try and get you a thousand more words. It's in consideration for the cover, but don't tell the band.	WILLIAM	 (conflicted) Crazy.	POLEXIA	 - coffee.	Almost Famous 
BEN	 (pause) I like what we're saying.  Let me try and get you a thousand more words. It's in consideration for the cover, but don't tell the band.	WILLIAM	 (conflicted) Crazy.	POLEXIA	 - coffee.	SAPPHIRE	 Me too.  Greenville is so boring. (to William) Any other city in the world and you'd still be a virgin.	Almost Famous 
POLEXIA	 - coffee.	SAPPHIRE	 Me too.  Greenville is so boring. (to William) Any other city in the world and you'd still be a virgin.	WILLIAM	 I'm going out to find Russell.	SAPPHIRE	 Will you take the laundry?	Almost Famous 
SAPPHIRE	 Will you take the laundry?	WILLIAM	 (to the girls) What am I to you?  Tell me right now! What. Am.  I.  To.  You.					Almost Famous 
RUSSELL	 Come on man, we'll have more time there. Don't be tense!!	WILLIAM	 (to Penny) You said you'd help me.	PENNY	 (massaging) Come to Cleveland.	RUSSELL	 (massaging, hypnotically) Come to Cleveland... Come to Cleveland...	Almost Famous 
WILLIAM	 (to Penny) You said you'd help me.	PENNY	 (massaging) Come to Cleveland.	RUSSELL	 (massaging, hypnotically) Come to Cleveland... Come to Cleveland...	WILLIAM	 I can't!!	Almost Famous 
PENNY	 (massaging) Come to Cleveland.	RUSSELL	 (massaging, hypnotically) Come to Cleveland... Come to Cleveland...	WILLIAM	 I can't!!	RUSSELL	 Can we help it if we like having you around!	Almost Famous 
PENNY	 Rock and roll!	WILLIAM	 (weary) Rock and roll.					Almost Famous 
WILLIAM (CONT'D)	 (rehearsed) I'm fine! I'm fine!  I'm flying back on Monday Morning.  I'll only miss one test.  I'll make it up.	RUSSELL	 Tell her you're a slave to the groove - you can't help it!	WILLIAM	 (covers phone) No.			Almost Famous 
RUSSELL	 Tell her you're a slave to the groove - you can't help it!	WILLIAM	 (covers phone) No.	RUSSELL	 Hi Mom!  It's Russell Hammond, I play guitar in Stillwater!   It's my fault. How does it feel to be the mother of the future of rock journalism? (beat) Hello?	RUSSELL (CONT'D)	 You've got a great kid -- nothing to worry about!  We're taking care of him!  And you should come to a show sometime!  Join the Circus!	Almost Famous 
WILLIAM	 (covers phone) No.	RUSSELL	 Hi Mom!  It's Russell Hammond, I play guitar in Stillwater!   It's my fault. How does it feel to be the mother of the future of rock journalism? (beat) Hello?	RUSSELL (CONT'D)	 You've got a great kid -- nothing to worry about!  We're taking care of him!  And you should come to a show sometime!  Join the Circus!	ELAINE	 Listen to me.   Your charm does not work on me.  I'm onto you.  Of course you like him.	Almost Famous 
ELAINE	 He worships you people and that's fine with you, as long as he helps make you rich.	RUSSELL	 (a nerve is struck) Rich?  I don't think so -	ELAINE	 Listen to me.  He's a smart, good- hearted, 15 year-old kid, with infinite potential.	ELAINE (CONT'D)	 This is not some apron-wearing mother you're talking to.  I know about your Valhalla of Decadence, and I shouldn't have let him go.  He is not ready for your world of compromised values, and diminished brain cells that you throw away like confetti.  Am I speaking clearly to you?	Almost Famous 
RUSSELL	 Yes... yes...	ELAINE	 (always the teacher) I didn't ask for this role, but I'll play it.  Now go do your best.  "Be bold and mighty forces will come to your aide!"  Goethe said that.  It's not too late for you to be a person of substance.  Get my son home safely, I'm glad we spoke.	WILLIAM	 Some people get her.  Some don't.			Almost Famous 
WILLIAM	 She means well.	DICK	 (importantly) From Troy, Michigan...	DICK (CONT'D)	 Would you please welcome to Cleveland...	DICK (CONT'D)	 Stillwater.	Almost Famous 
DICK (CONT'D)	 Alright, well, the rumors are true. The record company has sent a big-time manager here to try and talk you into replacing me.  His name is Dennis Hope. I know you've all heard of him.  He's got all the big bands.  He's right outside.  He wants five minutes with you right now.  I think we gotta do it.	RUSSELL	 (pissed) Then bring him in.	JEFF	 (arrogant) Bring him in!  We'll send him out on a rail!	RUSSELL	 (to William) We'll finish on the way to Boston. You can fly home from Boston.	Almost Famous 
RUSSELL	 (pissed) Then bring him in.	JEFF	 (arrogant) Bring him in!  We'll send him out on a rail!	RUSSELL	 (to William) We'll finish on the way to Boston. You can fly home from Boston.	DENNIS HOPE	 (completely unthreatening) Hi.	Almost Famous 
JEFF	 (arrogant) Bring him in!  We'll send him out on a rail!	RUSSELL	 (to William) We'll finish on the way to Boston. You can fly home from Boston.	DENNIS HOPE	 (completely unthreatening) Hi.	RUSSELL	 We already have a manager.  He's been with us from the beginning.	Almost Famous 
RUSSELL	 (to William) We'll finish on the way to Boston. You can fly home from Boston.	DENNIS HOPE	 (completely unthreatening) Hi.	RUSSELL	 We already have a manager.  He's been with us from the beginning.	DENNIS HOPE	 Respectfully.  We all have our roots. I believe in bands holding onto their roots.  But those roots need to be augmented.  I'm gonna tell you the truth - I may enrage some and enthrall others. I don't really give a fuck.   Your manager here needs a manager.  Example. If you hadn't run out on the contract in Phoenix, you could have sued over Russell's hand... but you left, negating the contract, forfeiting the deposit, and you effectively traveled a long way to pay that promoter... to electrocute you.	Almost Famous 
DENNIS HOPE (CONT'D)	 We can all work together.  Your damages have put you way into the hole for this tour.  Right now you owe the record company more than you've got.  But your record's selling, there's money to be made.  So I've brought a plane in, we can add more shows to make-up the difference.   Respectfully.	RUSSELL	 (immediately) We travel by bus.	JEFF	 Doris is the soul of this band!  That bus has been our home since we were the Jeff Bebe Band.	DENNIS	 Hey man -- it's travel on a pogo stick if I thought we'd make more money. You can play more dates with a plane...	Almost Famous 
RUSSELL	 (passionate) Hey man, it's not about the money!  It's about Playing music, and turning people on!	DENNIS HOPE	 (delicately) Yes, of course.  Clearly. Respectfully.   But on the distasteful subject of money.  Just know.  You're making it -- right now -- and it's all --	DENNIS HOPE (CONT'D)	 -- out there.  I'm just talking about bringing it --	DENNIS HOPE (CONT'D)	 -- back here.	Almost Famous 
DICK	 But why should we pay you for something we can do ourselves?	DENNIS HOPE	 (immediately) Do you know how to keep from getting charged for the ice below the floorboards of Chicago Stadium? Do you know how to do a headlining tour, do you Claire Rothman at the L.A. Forum?  Do you know Bobbi Cowan, Lisa Robinson, Jim Ladd, Frank Barcelona? (look around, amazed) This is Cleveland. Where's Kid Leo?? (basics) Do you know how you get a record not pressed but played?  Do you know?  I didn't invent the rainy day, man.  I just own the best umbrella.	DENNIS HOPE (CONT'D)	 Because as much as you may believe that it will last forever, it does not last forever... your biggest fan right now soon they're going to go to college, gonna wanna buy clothes, spend that money some other way, and you know what? (the final insult) They'll tape your record from a friend's copy.	DENNIS HOPE (CONT'D)	 You've got to take what you can, when you can, while you can.  And you've got to do it now.  That's what the big boys do.	Almost Famous 
DENNIS HOPE (CONT'D)	 Because if you think Mick Jagger will still be out there trying to be a rock star at age fifty, you're sadly sadly mistaken.	DICK	 (flustered) Yeah, well... we'll think about what you said.	DENNIS HOPE	 (casually) No no.  You don't understand.  I'll think about it.  I'm not auditioning. I came here to decide whether I want to represent you.  So I'll stand outside for a moment, and think about whether I want to stay.			Almost Famous 
DICK	 (flustered) Yeah, well... we'll think about what you said.	DENNIS HOPE	 (casually) No no.  You don't understand.  I'll think about it.  I'm not auditioning. I came here to decide whether I want to represent you.  So I'll stand outside for a moment, and think about whether I want to stay.					Almost Famous 
RUSSELL (CONT'D)	 She says she's retired Though we've heard that before. She chose us... And in Penny Lane we trust She is a fan of this band. Much more so than us.	DENNIS HOPE	 (to the point) Sorry the plane isn't bigger.					Almost Famous 
WILLIAM	 What's that?	PENNY	 (touched) You're worried about me and Russell.	WILLIAM	 Yeah.  I gotta work on that.	PENNY	 You're so sweet.  God -- if there was more of you in him...	Almost Famous 
WILLIAM	 Don't tell me this stuff.  I want to like him.	PENNY	 (concerned for him) Did you miss your test or something?	PENNY (CONT'D)	 I know I'm not on the plane, and I'm not going on some other band's bus.  I mean, I could go with the Sabbath road crew, but that would be pathetic.  The girls are all going with Humble Pie. If you could find out from Russell --	WILLIAM	 (quietly) Penny -	Almost Famous 
PENNY (CONT'D)	 I know I'm not on the plane, and I'm not going on some other band's bus.  I mean, I could go with the Sabbath road crew, but that would be pathetic.  The girls are all going with Humble Pie. If you could find out from Russell --	WILLIAM	 (quietly) Penny -	PENNY	 (a decision) Forget it.  I'm flying to New York myself.  I have a bunch of partial tickets.  I know his ex-wife, current girlfriend's going to be there -	WILLIAM	 -- I'm not sure that's a good idea.	Almost Famous 
WILLIAM	 (quietly) Penny -	PENNY	 (a decision) Forget it.  I'm flying to New York myself.  I have a bunch of partial tickets.  I know his ex-wife, current girlfriend's going to be there -	WILLIAM	 -- I'm not sure that's a good idea.	PENNY	 (overlapping) What?  What are you saying?  What do you know?  Did Russell say something?	Almost Famous 
WILLIAM	 -- I'm not sure that's a good idea.	PENNY	 (overlapping) What?  What are you saying?  What do you know?  Did Russell say something?	WILLIAM	 I don't know anything.	PENNY	 I know he wants me there.  He gave me a cake.  He wrote me that sweet poem.	Almost Famous 
PENNY	 I know he wants me there.  He gave me a cake.  He wrote me that sweet poem.	WILLIAM	 (loud) Wake up!  Don't go to New York!	PENNY	 What are you telling me?	WILLIAM	 Because you're not who you said you were!  I thought you were retired!	Almost Famous 
WILLIAM	 Because you're not who you said you were!  I thought you were retired!	PENNY	 You're right.  I'm not who I said I was.  I'm just like you. I love music, so this is my family.  Some people like tractors, and they hang out with tractor people.  What's the worst that could happen if I go to New York? (little girl) "I get my little heart broken?"	WILLIAM	 Oh no.  Never you!  You eat people alive!	PENNY	 (accusatory) I'm sorry I told you so much.   You have some way of making everybody tell you all their secrets.	Almost Famous 
WILLIAM	 Oh no.  Never you!  You eat people alive!	PENNY	 (accusatory) I'm sorry I told you so much.   You have some way of making everybody tell you all their secrets.	WILLIAM	 That's a good one.  Tell me too much and make it my fault.	PENNY	 Come on.  You've seen what's happened. Russell and I fell in love.  How much, I don't know... but this is the first time I've fallen for someone, really fallen... since Iggy, and I'm not happy about it.	Almost Famous 
PENNY	 Come on.  You've seen what's happened. Russell and I fell in love.  How much, I don't know... but this is the first time I've fallen for someone, really fallen... since Iggy, and I'm not happy about it.	WILLIAM	 (beat) You slept with Iggy Pop!?	WILLIAM (CONT'D)	 (sputtering) Why don't you just tell me now, who else -- so when I go to the record store, I know who to be jealous of. Because right now, it's looking like the whole store!	PENNY	 (teasing, defiant) You'll remember me forever.  I was there when you lost your virginity.	Almost Famous 
WILLIAM (CONT'D)	 (sputtering) Why don't you just tell me now, who else -- so when I go to the record store, I know who to be jealous of. Because right now, it's looking like the whole store!	PENNY	 (teasing, defiant) You'll remember me forever.  I was there when you lost your virginity.	WILLIAM	 (upset at the memory) So was Steely Dan!  It was a crowded room.	PENNY	 You make me laugh.  I think I'm gonna cry.	Almost Famous 
PENNY	 (teasing, defiant) You'll remember me forever.  I was there when you lost your virginity.	WILLIAM	 (upset at the memory) So was Steely Dan!  It was a crowded room.	PENNY	 You make me laugh.  I think I'm gonna cry.	WILLIAM	 (continuing) I thought we were going to Morocco! There's no Morocco.  There's never been a Morocco.  There's not even a Penny Lane.  I don'teven know your real name.	Almost Famous 
PENNY	 You make me laugh.  I think I'm gonna cry.	WILLIAM	 (continuing) I thought we were going to Morocco! There's no Morocco.  There's never been a Morocco.  There's not even a Penny Lane.  I don'teven know your real name.	PENNY	 If I ever met a guy in the real world, who looked at me the way you just looked at me...	WILLIAM	 When and where does the real world occur?  I am really... confused here. Fuck!  All these Rules And all these sayings... and nicknames...	Almost Famous 
PENNY	 Look.  You should be happy for me. You don't know what he says to me in private.  Maybe it is love.  As much as it can be with someone who --	WILLIAM	 (blurts) -- sold you to Humble Pie for fifty dollars and a case of beer?  I was there!	PENNY	 What kind of beer?			Almost Famous 
JEFF	 " ... skyscrapers and everything."	RUSSELL	 (to William) We showed you America.  We did everything but get you laid.					Almost Famous 
DICK	 Your room is completely stocked, far away from any noisy ice machines, elevators or maid quarters.  The air- conditioning is already on.  And here is your security key -- by the way, you look stunning.	LESLIE	 (taking treatment for granted) ThanksI'llseeyoulater.	DICK	 Bags in five!  Cars leave for the party at six!	DICK (CONT'D)	 You know.  There are lighter souvenirs.	Almost Famous 
DICK (CONT'D)	 You know.  There are lighter souvenirs.	WILLIAM	 (embarrassed) Well -- I kept thinking I was going home the next day --	DICK	 I did too.  Fifteen years ago.	WILLIAM	 Ric!	Almost Famous 
WILLIAM	 Ric!	RIC	 (whispers) It's all happening.  Zeppelin is at the Plaza.  So's four other bands. They're partying up there right now. Sapphire, and Miss Penny Lane too... She wants you to call her. (William reacts) They're all staying under the name Emily Rugburn.	RUSSELL	 (exiting with Leslie) After the party.  I'll come to your room - I promise.  We'll talk.  This is Leslie, by the way.  Leslie, this is our wayward friend from Rolling Stone.  The Enemy.			Almost Famous 
RIC	 (whispers) It's all happening.  Zeppelin is at the Plaza.  So's four other bands. They're partying up there right now. Sapphire, and Miss Penny Lane too... She wants you to call her. (William reacts) They're all staying under the name Emily Rugburn.	RUSSELL	 (exiting with Leslie) After the party.  I'll come to your room - I promise.  We'll talk.  This is Leslie, by the way.  Leslie, this is our wayward friend from Rolling Stone.  The Enemy.					Almost Famous 
CLERK	 William Miller?  Sir, you have an urgent call from a Mr. "Ben Fong-Torres." He's holding for you, right now.	WILLIAM	 (deep voice) Hello.					Almost Famous 
WILLIAM	 I do.	RUSSELL	 (then pissed) Oh - get this - somebody told Penny Lane I sold her for beer.  The network of these chicks!  Like I would do that. It's Jeff who told her, right?  Not you, right?  None of these guys can just calm down and be a fuckin adult. Now she's here, freaking out.  Leslie can smell it.	WILLIAM	 (exiting) Wait.  I've got something to tell -			Almost Famous 
RUSSELL	 (then pissed) Oh - get this - somebody told Penny Lane I sold her for beer.  The network of these chicks!  Like I would do that. It's Jeff who told her, right?  Not you, right?  None of these guys can just calm down and be a fuckin adult. Now she's here, freaking out.  Leslie can smell it.	WILLIAM	 (exiting) Wait.  I've got something to tell -					Almost Famous 
WILLIAM	 You guys -- you guys -- (beat) You're gonna be on the cover of Rolling Stone.	JEFF	 (tears welling, instantly) The cover of Rolling Stone.  And we made it together.  They don't just put somebody with one little hit on the cover of Rolling Stone Fucking Magazine, man.  We made it.	JEFF (CONT'D)	 (continuing) Damn it -- I'm gonna enjoy this.  The first time I bought that magazine The Beatles were on the cover.  Four of them.  Four of us.  Together.	TOGETHER!		Almost Famous 
PENNY LANE (CONT'D)	 You're the last of my old-time friends. Polexia went to England with Deep Purple... can you believe that?  Even Sapphire's out someplace else.  All she left was her quaaludes.	WILLIAM	 Oh -- wonderful. (into phone) Front desk?  Please send a doctor. Room... what room?  703.  702.   Both rooms, either room.  This is Mr. Rugburn, Yes.  My wife's had an accident with some quaaludes.  Yes - I'll do that.	WILLIAM (CONT'D)	 Wake up!			Almost Famous 
PENNY	 "Please place all stowable luggage in the overhead compartments... out in the seat in front of you."	WILLIAM	 (prompting) "Seat and tray tables."	PENNY	 "And seat-backs and tray-tables should be in their full and upright and locked positions... "			Almost Famous 
PRINCIPAL	 And to the class of 1973, we say -- (beat) Don't forget to remember yourself as you are today...  Full of hope... and the dream that everything is possible... Remember this, twenty years from now, when we all own home computers and we all travel in shiny electrical cars that move swiftly, high above the city... (beat) They key to the future is keeping today alive forever.	MRS. DEEGAN	 First.  Release the guilt. (Elaine nods) Second -	ELAINE	 Please let there be only two, because I can't get past Number One.	MRS. DEEGAN	 Second.  Leave a little room for the other teachers in this world.  He's out there looking for mentors.	Almost Famous 
PENNY	 "... you will be required to..." (gives up) I'm tired.	WILLIAM	 Well.  Now that I have your attention. And you may not remember this later, I just want to make it clear that... Hey! (she blinks, barely awake again) I know you've heard this before.  And I have never said this to anybody, not really - well, nobody who didn't legally have to say it back to me, but - (tries to be casual) I love you.  And I have a hard time sharing you with all of rock and roll because I - why am I nervous? - You'll never remember this - HEY! - (she blinks) I love you, and I'm about to boldly go where...  Many men have gone before...					Almost Famous 
DOCTOR	 However, she says you're her brother.	WILLIAM	 (eyes report) She's a little confused.	DOCTOR	 Nice champagne.	WILLIAM	 I don't have a driver's license.  With me.	Almost Famous 
PENNY	 (baring her soul) When I was 14, my Mom and her boyfriend took me to a Rolling Stones concert - and I freaked out and I rushed up to the front of the stage and then a thousand people had the same idea at the same time and I was getting crushed. And I couldn't breathe and that thought flashed through me - almost like a car accident - I thought I might die.  And it was in the middle of "Midnight Rambler" and Keith Richards saw me. And he came over, and came to the front of the stage, and he pulled me out. And they took me backstage and they gave me coke with ice and a - and a lemon.  And I never went home.	WILLIAM	 What about your Mom?	PENNY	 She always said - "Marry Up." Marry someone grand.  That's why she named me Lady.			Almost Famous 
PENNY	 She always said - "Marry Up." Marry someone grand.  That's why she named me Lady.	WILLIAM	 (horrified) She named you Lady?	PENNY	 Lady Goodman.	WILLIAM	 No.	Almost Famous 
WILLIAM	 It's a log story.	RUSSELL	 (singing Buddy Holly) "Peggy Sure... Peggy Sue... "	DICK	 Please.	RUSSELL	 "Pretty pretty pretty pretty Peggy Sue... "	Almost Famous 
JEFF	 "Electrical storm?"	RUSSELL	 (strapping in for a roller coaster) Rock and roll.	RUSSELL (CONT'D)	 Wooooooo Baby!	CO-PILOT	 We're gonna try to land in Tupelo. We're going to have to cut the inside lighting for the next several minutes. We found a field to land in.	Almost Famous 
JEFF	 I can't breathe.	CO-PILOT	 It might be a rough set-down.  We should be fine. (cracking at the edges) But what we do say in a situation like this is - We would pass but before the plane ... disassembled.  However, God help us, if there's anything you want to say to each other, any secrets, anything like that, now would be a good time.  But just hang in there. We'll get you out of this.	DICK	 And everyone thinks it's so glamorous out here.	LARRY	 (oddly detached) He just told us we're gonna die.	Almost Famous 
DICK	 And everyone thinks it's so glamorous out here.	LARRY	 (oddly detached) He just told us we're gonna die.	JEFF	 (insecurities running wild) We're gonna crash in Elvis' hometown --	RUSSELL	 Shut up.	Almost Famous 
LARRY	 (oddly detached) He just told us we're gonna die.	JEFF	 (insecurities running wild) We're gonna crash in Elvis' hometown --	RUSSELL	 Shut up.	JEFF	 -- we can't even die in an original city!	Almost Famous 
DENNIS HOPE	 I once hit a man in Dearborn, Michigan. A hit-and-run.  I hit him and kept on going.  I don't know if he's alive or dead, but I'm sorry.	LESLIE	 (gripped with fear) Oh my God.	DICK	 I love you all too, and you're my family.  Especially since Marna left me.  But if I ever took an extra dollar or two, here and there, it was because I knew I'd earned it.	RUSSELL	 I slept with Marna, Dick.	Almost Famous 
LESLIE	 Yes, but it didn't count.  It was the summer we decided to be free of all rules.	RUSSELL	 (to Jeff) And you say you "love me."	JEFF	 (the truth) I don't love you, man.  I never did.	RUSSELL	 Please.  Enough.	Almost Famous 
RUSSELL	 (to Jeff) And you say you "love me."	JEFF	 (the truth) I don't love you, man.  I never did.	RUSSELL	 Please.  Enough.	JEFF	 NONE of us love you.  You act above us.  You ALWAYS HAVE!!	Almost Famous 
JEFF	 You just held it over us, like you light leave... like we're lucky to be with you. And we had to live with it. I had to live with you, and now I might die with you and it's not fucking fair.	RUSSELL	 (to Larry and Ed) You hate me?  You too?	RUSSELL (CONT'D)	 All this love.  All this loyalty. (incredulous, giddy) And you don't even like me.	JEFF	 And I'm still in love with you Leslie.	Almost Famous 
LESLIE	 I don't want to hear anymore.    Shut up! Shut up!  Shut up!	RUSSELL	 (to Jeff) Whatever happens, you're dead.	JEFF	 Don't be self-righteous, Russell, not now.  You were sleeping with Penny, that groupie.  Last summer, and up			Almost Famous 
JEFF	 Don't be self-righteous, Russell, not now.  You were sleeping with Penny, that groupie.  Last summer, and up until yesterday.  Why don't you tell Leslie THAT?	DENNIS	 (freaking out) I quit.	WILLIAM	 "That groupie?"  She was a Band-Aid. All she did was love your band.  And you all -- you used her, all of you. You used her and threw her away.  She almost died last night, while you were with Bob Dylan.  You're always talking about the fans, the fans, the fans. She was your biggest fan and you threw her away.  And if you can't see that, that's your biggest problem.	ED	 I'm gay.	Almost Famous 
WILLIAM	 Yep.	BEN	 (putting it all together) Oh baby.					Almost Famous 
FACT CHECKER	 Good 'cause it's going to take me three days to get through this research. It's all handwritten, on little slips. Plus, they all refer to woman as "chicks." I mean, as a woman I have a problem with that.  I know it's a side issue.	DAVID FELTON	 (sympathetic, loquacious) It's a "puff piece."  you fell for 'em.  It happens.  A relationship forms. You want them to like you. (wistful, chewing cigarette holder) Happened with me and Charlie Manson. He was a very charming... lively... charismatic...	DAVID FELTON (CONT'D)	 ... mass-murderer.	WILLIAM	 Please let me finish it.  Give me tonight to work on it.	Almost Famous 
FACT CHECKER	 Chet's piece is all fact-checked and ready.	JANN	 (to William) Get some sleep.  We'll do another story sometime.  We'll get you a kill fee.	FACT CHECKER	 His research is all on little bits of paper.  Did I say that?	WILLIAM	 Ben.  You told me to send what I had. It's not finished.	Almost Famous 
JANN	 Let him use the big office.   It's where Hunter used to write.	FACT CHECKER	 (pointed re: his age) You can type.	WILLIAM				Almost Famous 
WILLIAM	 (ruefully) Well, it was fun.	LESTER BANGS	 They make you feel cool.  And hey.  I met you.  You are not "cool."	WILLIAM	 I know.  Even when I though I was, I knew I wasn't.			Almost Famous 
WILLIAM	 Me too!	LESTER BANGS	 (leveling) The only true currency in this bankrupt world if what we share with someone else when we're uncool.	WILLIAM	 (distraught) I feel better	LESTER	 My advice to you.  I know you think those guys are your friends.  You want to be a true friend to them?	Almost Famous 
LESTER BANGS	 (leveling) The only true currency in this bankrupt world if what we share with someone else when we're uncool.	WILLIAM	 (distraught) I feel better	LESTER	 My advice to you.  I know you think those guys are your friends.  You want to be a true friend to them?	LESTER BANGS	 Be honest and unmerciful. (beat) You're doing great.  Call me later is you want.  I'm always up.	Almost Famous 
FELTON	 Read me the opening line.	BEN	 (reads aloud) "I am flying high over Tupelo, Mississippi, with America's hottest band, and we are all about to die."	FELTON	 Mmmmm. (as if sampling wine) Dark.  Lively.	BEN	 Yeah, and it gets better. (impressed) Did this all really happen?	Almost Famous 
BEN	 (reads aloud) "I am flying high over Tupelo, Mississippi, with America's hottest band, and we are all about to die."	FELTON	 Mmmmm. (as if sampling wine) Dark.  Lively.	BEN	 Yeah, and it gets better. (impressed) Did this all really happen?	FACT CHECKER	 (jealously reaches for manuscript) Give it to me.  I'll call and check the quotes.	Almost Famous 
FELTON	 Mmmmm. (as if sampling wine) Dark.  Lively.	BEN	 Yeah, and it gets better. (impressed) Did this all really happen?	FACT CHECKER	 (jealously reaches for manuscript) Give it to me.  I'll call and check the quotes.			Almost Famous 
BEN	 Yeah, and it gets better. (impressed) Did this all really happen?	FACT CHECKER	 (jealously reaches for manuscript) Give it to me.  I'll call and check the quotes.					Almost Famous 
RUSSELL	 So what?	JEFF	 So what? (beat) We come off like amateurs... some average band...  trying to come to grips, jealous and fighting and breaking up - we're buffoons!	RUSSELL	 Maybe we just don't see ourselves the way we really are.	JEFF	 He was supposed to be our friend.	Almost Famous 
JEFF	 He was supposed to be our friend.	RUSSELL	 (ruefully, remembering) I told him to write what he wanted.	TONY	 (to Russell) By the way, he has you on acid, screaming "I Am A Golden God" from a fan's rooftop.	RUSSELL	 (immediately remembering) Oh my God.	Almost Famous 
RUSSELL	 (ruefully, remembering) I told him to write what he wanted.	TONY	 (to Russell) By the way, he has you on acid, screaming "I Am A Golden God" from a fan's rooftop.	RUSSELL	 (immediately remembering) Oh my God.	JEFF	 They used him to fuck us.	Almost Famous 
TONY	 (to Russell) By the way, he has you on acid, screaming "I Am A Golden God" from a fan's rooftop.	RUSSELL	 (immediately remembering) Oh my God.	JEFF	 They used him to fuck us.	RUSSELL	 (still back at "Golden God") I didn't say "Golden God."  Or did I?	Almost Famous 
JEFF	 They used him to fuck us.	RUSSELL	 (still back at "Golden God") I didn't say "Golden God."  Or did I?	DICK	 We never took him seriously, and now it's serious.	RUSSELL	 I liked him as a person.	Almost Famous 
RUSSELL	 You.  You had the right idea all along.	DENNIS HOPE	 (nervously) How about the plane flight?	DICK	 It's all in there.  But don't worry, it's all unspecific who say what.  No names are mentioned in the more embarrassing sequences, it's just completely obvious who's who!  We're fucked!	RUSSELL	 I forgot he was there.	Almost Famous 
DENNIS HOPE	 Well, they haven't talked to Russell - he can always deny the key stuff to the fact checker.  Then they can't print it.	JEFF	 (brightening) Is that true?	DENNIS HOPE	 It's war, my friend.  If you'd met me earlier, he would have never been on the around.	DENNIS HOPE (CONT'D)	 He'll live.	Almost Famous 
FACT CHECKER	 Russell Hammond is the one who denied it.	BEN	 (darkly) Crazy.	FACT CHECKER	 (one last shot, to William) We're going with the Who - !	SOMEONE'S VOICE	 He's just some fan... what did you expect?	Almost Famous 
BEN	 (darkly) Crazy.	FACT CHECKER	 (one last shot, to William) We're going with the Who - !	SOMEONE'S VOICE	 He's just some fan... what did you expect?	FELTON	 Well, I believe you.	Almost Famous 
RUSSELL	 What did I do?	SAPPHIRE	 Well - you can do what the big boys do. (he looks at her) Nothing.	RUSSELL	 Yeah.	SAPPHIRE	 You believe these new girls?  None of 'em take birth control, and they eat all the steak.	Almost Famous 
RUSSELL	 Is Penny okay?	SAPPHIRE	 The Quaalude Incident.  Yeah, it wasn't pretty.  She could have died.  I always warned her about letting too many guys fall in love with her.  I guess I was wrong. (shrugs) On of 'em saved her life.	RUSSELL	 Well, it's finally over with Leslie. I'm going to call her.	SAPPHIRE	 Let her retire. (he doesn't respond) You want to lock her up in a house in Michigan?  Please. (he doesn't respond) Write her a song someday.  She deserves it.  Something about that girl brought out the best in a lot of... (looks around backstage) ... pretty average people.  She deserves it...	Almost Famous 
