WOODWARD	 You call me in on my day off because some idiots have broken into local Democratic Headquarters--tell me, Harry, why should I be smiling?	ROSENFELD	 As usual, that keen mind of yours has pegged the situation perfectly. (chomps on some Maalox tablets) Except (a) it wasn't local Democratic Headquarters, it was National Democratic Headquarters-- (WOODWARD is surprised-- he hadn't known) --and (b) these weren't just any idiots, these were special idiots, seeing as when they were arrested at 2:30 this morning, they were all wearing business suits and Playtex gloves and were carrying-- (consults a piece of paper) --a walkie-talkie, forty rolls of film, cameras, lock picks, pen-sized tear gas guns, plus various bugging devices. (puts paper down) Not to mention over two thousand dollars, mostly in sequenced hundred dollar bills.	WOODWARD	 Preliminary hearing at Superior Courthouse?	ROSENFELD	 (nods) Two o'clock, work the phones 'til you go.	All the President's Men 
PULL BACK		WOODWARD	 Segretti criss-crossed the country over ten times in six months--and never stayed anyplace over a night or two. (glancing up) Switch to another station, huh? You're driving me crazy with that.	BERNSTEIN	 Segovia begged me for me secret but I said, "No, Andres, you'll have to try and make it without me."	WOODWARD	 (pointing to the thickest stacks) California, Illinois, Florida, New Hampshire--all the major Democratic primary states. (whirling) Why does everything you play sound the same?	All the President's Men 
BERNSTEIN	 Segovia begged me for me secret but I said, "No, Andres, you'll have to try and make it without me."	WOODWARD	 (pointing to the thickest stacks) California, Illinois, Florida, New Hampshire--all the major Democratic primary states. (whirling) Why does everything you play sound the same?	BERNSTEIN	 --'cause I only know four chords--			All the President's Men 
BERNSTEIN	 During the Florida primary, you wrote a letter on Muskie stationery saying Scoop Jackson had a bastard child. You wrote another that said Hubert Humphrey was out with call girls.	SEGRETTI	 Sometimes it got up to a quarter maybe-- (to BERNSTEIN) --off the record.	BERNSTEIN	 You wrote the Canuck letter--the one where you claimed Muskie slurred the Canadians.	SEGRETTI	 I didn't.	All the President's Men 
BERNSTEIN	 But you know who did.	SEGRETTI	 When you guys print it in the paper, then I'll know. (closes his eyes) I'm a lawyer, and I'll probably go to jail, and be disbarred, and what did I do that was so awful?	SEGRETTI	 None of it was my idea, Carl--I didn't go looking for the job.	BERNSTEIN	 Chapin did contact you then?	All the President's Men 
SEGRETTI	 Can't help you.	BERNSTEIN	 At USC, you had a word the this-- screwing up the opposition you all did it at college and called it ratfucking. (SEGRETTI half-smiles, nods) Ever wonder if Nixon might turn out to be the biggest ratfucker of them all?					All the President's Men 
BERNSTEIN	 What would you have done?	WOODWARD	 You asking would I have been one of the President's men? (beat) I would have been.					All the President's Men 
DEEP THROAT	 My turn to keep you waiting. (approaches) What's the topic for tonight?	WOODWARD	 Ratfucking.	DEEP THROAT	 In my day, it was simply called the double cross. I believe the CIA refers to it as Mindfuck. In our context, it simply means infiltration of the Democrats.			All the President's Men 
WOODWARD	 I know what it means--Segretti wouldn't go on the record, but if he would, we know he'd implicate Chapin. And that would put us inside the White House.	DEEP THROAT	 (nods) Yes, the little ratfuckers are now running our government.	WOODWARD	 Who?--be specific. How high up?	DEEP THROAT	 You'll have to find that out, won't you.	All the President's Men 
WOODWARD	 What?	DEEP THROAT	 Did you change cabs? (as WOODWARD nods) It didn't work, something moved there--					All the President's Men 
DEEP THROAT	 (self-mocking) I hope you noticed how coolly I behaved under the threat of discovery.	WOODWARD	 (impatiently) Do Justice and the FBI know what we know, and why the hell haven't they done anything about it?	DEEP THROAT	 They know, but they focused on the burglary--if it didn't deal with the break-in, they didn't pursue it.	WOODWARD	 Why didn't they?--who told them not to?	All the President's Men 
WOODWARD	 Why didn't they?--who told them not to?	DEEP THROAT	 Someone with authority I'd imagine, wouldn't you? (coughs) Don't you know what you're onto? Come on.	WOODWARD	 Mitchell knew then.	DEEP THROAT	 Of course--my God, you think something this big just happens? The break-in and the cover up, of course Mitchell knew, but no more than Ehrlichman.	All the President's Men 
WOODWARD	 --the Canuck letter--was that a White House operation--	DEEP THROAT	 (nods, bigger) --don't you miss the grand scheme too.	WOODWARD	 How grand?	DEEP THROAT	 Nationwide--my God, they were frightened of Muskie and look who got destroyed--they wanted to run against McGovern, and look who they're running against. They bugged, they followed people, false press leaks, fake letters, they canceled Democratic campaign rallies, they investigated Democratic private lives, they planted spies, stole documents, on and on-- don't tell me you think this was all the work of little Don Segretti.	All the President's Men 
DEEP THROAT	 Yes, yes, everything. There were over fifty people employed by the White House and CREEP to ratfuck-- some of what they did is beyond belief.	WOODWARD	 (stunned) Fifty ratfuckers directed by the White House to destroy the Democrats?					All the President's Men 
BERGER	 Do you guys know about the Canuck letter?	BERNSTEIN	 (nods, drinks) Um-hmm. (stops, looks at her) Why?	BERGER	 I just wanted to be sure you knew who wrote it.			All the President's Men 
BERNSTEIN	 (hysterical) Tell him what you just told me.	BERGER	 Just than Ken Clawsen--he used to be a reporter here before he went to work for Nixon--I had him over for a drink a few weeks ago and he told me he wrote the Canuck letter. (she looks from one of them to the other) You did want to know, didn't you?					All the President's Men 
BERNSTEIN	 You think this was Clawsen's initiation?	WOODWARD	 Could have won him a fraternity paddle with a White House seal. (beat) God knows it worked.					All the President's Men 
WOODWARD	 Sorry, Ken; listen, one last thing: where did your talk with Berger happen?	CLAWSEN (V.O.)	 Where? (beat) What do you mean, where?	WOODWARD	 Well, was it in a bar, her apartment, some restaurant--	CLAWSEN (V.O.)	 --I've completely forgotten where it was, except I know it wasn't her apartment.	All the President's Men 
BERNSTEIN	 --if he did it or just said he did it, God knows.	BRADLEE	 I could care less about where it happened; what happened is what counts. (calling out to his	SECRETARY)	 Put him on. (picks up the phone) Ken, I'm sorry, it was Goddamn Beirut and they were having a crisis, what's up, kid? (pause) Slow down, Ken, you sound frazzled. (pause) A wife and a family and a cat and a dog, right, Ken. (pause) Ken, I would never print that you were in Marilyn's apartment at night-- unless, of course, you force me to.			All the President's Men 
BRADLEE	 I could care less about where it happened; what happened is what counts. (calling out to his	SECRETARY)	 Put him on. (picks up the phone) Ken, I'm sorry, it was Goddamn Beirut and they were having a crisis, what's up, kid? (pause) Slow down, Ken, you sound frazzled. (pause) A wife and a family and a cat and a dog, right, Ken. (pause) Ken, I would never print that you were in Marilyn's apartment at night-- unless, of course, you force me to.					All the President's Men 
BRADLEE	 --because our cocks are on the chopping block and you've got to be sure that you're not just dealing with people who hate Richard Nixon and want to get him through us. You see, I don't give a shit who's President--I really don't, it's an adversary situation between them and us and it's always gonna be. I never had a closer friend than Jack Kennedy and once I printed something that pissed him off and for seven months I didn't exist.	MAN	 You none of you know who I am, do you? (they don't) You screw me up good, you don't even know what I look like.	BRADLEE	 OK, you've had your preamble; who the hell are you?	MAN	 Glenn Sedam--you wrote about me last week, you said I was one of the guys at the Committee who was sent reports. You were wrong.	All the President's Men 
BERNSTEIN	 Baldwin told the FBI it was you.	SEDAM	 Baldwin told the FBI it was someone whose first name sounded like a last name. They showed him a list and he picked me but it wasn't me, it was Gordon Liddy. (looks at the reporters) My phone hasn't stopped ringing, my wife's hysterical, my kids think I'm mixed up with the burglary, my friends don't like me around all of a sudden.					All the President's Men 
CLOSE UP--SEDAM		SEDAM	 You fucked around my life, you two. (starts off) I just wanted to say thanks.	BRADLEE	 That didn't sound to me like a non- denial denial; could you have been wrong? (they nod) You had a good source? (nod) Did he have an ax? (pause. Then another nod)	CLOSE UP--BRADLEE		All the President's Men 
SEDAM	 You fucked around my life, you two. (starts off) I just wanted to say thanks.	BRADLEE	 That didn't sound to me like a non- denial denial; could you have been wrong? (they nod) You had a good source? (nod) Did he have an ax? (pause. Then another nod)	CLOSE UP--BRADLEE		BRADLEE	 All right, you made a mistake maybe, we all have, just don't make another. And watch your personal lives, who you hang around with. Someone once said the price of democracy is a bloodletting every ten years. (beat) Make sure it isn't our blood...	All the President's Men 
CLOSE UP--BRADLEE		BRADLEE	 All right, you made a mistake maybe, we all have, just don't make another. And watch your personal lives, who you hang around with. Someone once said the price of democracy is a bloodletting every ten years. (beat) Make sure it isn't our blood...					All the President's Men 
WOODWARD	 --That cash fund that financed the sabotaging of the Democrats--five guys had control--	BERNSTEIN	 (ticking them off) --Mitchell, Stans, Magruder, Kalmbach--	WOODWARD	 --we're working on the last guy now and we're going all the way--that fifth man was Haldeman.	SLOAN	 --I'm not your source on that--	All the President's Men 
SLOAN	 I'm not your source on that.	WOODWARD	 (taking the dust pan, helping out) --look, when the Watergate grand jury questioned you, did you name names?	SLOAN	 Of course--everything they asked--	BERNSTEIN	 --if we wrote a story that said Haldeman controlled the fund?--	All the President's Men 
BERNSTEIN	 Nah. (squints hard) Maybe.	WOODWARD	 What if I went up and introduced myself--think he'd slug me?	BERNSTEIN	 Well, we are trying to ruin his life.			All the President's Men 
BERNSTEIN	 Well, we are trying to ruin his life.	WOODWARD	 It's nothing personal, though. (looks troubled)	BERNSTEIN	 What's the matter?	WOODWARD	 Same as Magruder, I don't like it when they turn out to be human.	All the President's Men 
WOODWARD	 Same as Magruder, I don't like it when they turn out to be human.	BERNSTEIN	 (nods) I wish we were investigating Attila the Hun.	WOODWARD	 Maybe we are...			All the President's Men 
BERNSTEIN	 --about how all you supposed experts really blew the whole investigation--	FBI GUY	 (stung) --we didn't miss so much--	WOODWARD	 --you never knew Haldeman had control of the slush fund--	FBI GUY	 --it's all in our files--	All the President's Men 
BRADLEE	 (staring at the typed story) --I don't know, I don't know, it feels thin--	SIMONS	 --Christ, I wish I knew if we should print this--	ROSENFELD	 --listen, we didn't make them do these things--once they did, it's our job to report it--			All the President's Men 
ROSENFELD	 --listen, we didn't make them do these things--once they did, it's our job to report it--	SIMONS	 (to the reporters) --go over your sources again--	WOODWARD	 --Sloan told the Grand Jury--he answered everything they asked him-- that means there's a record somewhere--	BERNSTEIN	 --and the FBI confirms--what more do you need?--	All the President's Men 
BERNSTEIN	 --and the FBI confirms--what more do you need?--	ROSENFELD	 (whirling to BERNSTEIN) --listen, I love this country, you think I want to bring it down?--I'm not some goddamn zany, I was a hawk--	SIMONS	 --Harry, weren't you just arguing the opposite way?--	ROSENFELD	 --maybe I'm tense--	All the President's Men 
ROSENFELD	 --maybe I'm tense--	BRADLEE	 --well shit, we oughtta be tense-- we're about to accuse Mr. Haldeman who only happens to be the second most important man in America of conducting a criminal conspiracy from inside the White House-- (beat) --it would be nice if we were right--	SIMONS	 (to the reporters) --you double-checked both sources?--	BRADLEE	 --Bernstein, are you sure on this story?	All the President's Men 
BRADLEE	 --well shit, we oughtta be tense-- we're about to accuse Mr. Haldeman who only happens to be the second most important man in America of conducting a criminal conspiracy from inside the White House-- (beat) --it would be nice if we were right--	SIMONS	 (to the reporters) --you double-checked both sources?--	BRADLEE	 --Bernstein, are you sure on this story?	BERNSTEIN	 Absolutely--	All the President's Men 
BERNSTEIN	 Absolutely--	BRADLEE	 (to WOODWARD) --what about you?--	WOODWARD	 --I'm sure--	BRADLEE	 --I'm not sure, it still feels thin-- (looks at SIMONS)	All the President's Men 
WOODWARD	 --I'm sure--	BRADLEE	 --I'm not sure, it still feels thin-- (looks at SIMONS)	SIMONS	 (to WOODWARD and BERNSTEIN, after a puse) --get another source.			All the President's Men 
BRADLEE	 --I'm not sure, it still feels thin-- (looks at SIMONS)	SIMONS	 (to WOODWARD and BERNSTEIN, after a puse) --get another source.					All the President's Men 
WOODWARD	 --Deep Throat won't confirm--I never thought he was scared of anyone, but he's scared of Haldeman.	BERNSTEIN	 I know a guy in the Justice Department who was around the Grand Jury. (looks at WOODWARD)	WOODWARD	 --We got twenty minutes to deadline--			All the President's Men 
LAWYER'S VOICE (O.S.)	 (barely audible) ...You shouldn't ever call me like this, Carl...	BERNSTEIN	 Will you confirm that Haldeman was mentioned by Sloan to the Grand Jury?	LAWYER'S VOICE (O.S.)	 ...I won't say anything about Haldeman... not ever...			All the President's Men 
LAWYER'S VOICE (O.S.)	 ...I won't say anything about Haldeman... not ever...	BERNSTEIN	 (desperate) All right--listen--it's against the law if you talk about the Grand Jury, right? But you don't have to say a thing--I'll count to ten--if the story's wrong, hang up before I get there--if it's OK stay on the line till after, got it?	LAWYER (O.S.)	 Hang up, right?	BERNSTEIN	 Right, right--OK, counting: one, two-- (he inhales deeply) --three, four, five, six-- (now he's starting to get excited) --seven, eight-- (inhales deeply) --nine, ten, thank you.	All the President's Men 
LAWYER (O.S.)	 Hang up, right?	BERNSTEIN	 Right, right--OK, counting: one, two-- (he inhales deeply) --three, four, five, six-- (now he's starting to get excited) --seven, eight-- (inhales deeply) --nine, ten, thank you.	LAWYER (O.S.)	 You've got it straight now? Everything	OK?		All the President's Men 
OK?		BERNSTEIN	 (on a note of triumph) Yeah!					All the President's Men 
BERNSTEIN	 What was the mistake? Do you think it's been rigged, all along the way, leading us on so they could slip it to us when it mattered? They couldn't have set us up better; after all these months our credibility's gone, you know what that means?	WOODWARD	 (nods) Only everything...	CAMERA MOVES UP HIGHER TO REVEAL				All the President's Men 
SIMONS	 (indicating the papers) More denunciations?	ROSENFELD	 (nods) One Senator just gave a speech slurring us 57 times in 20 minutes.	SIMONS	 What's this?	BRADLEE	 My non-denial denial.	All the President's Men 
BRADLEE	 We can't talk inside either?	WOODWARD	 (headshake) Electronic surveillance.					All the President's Men 
BRADLEE	 Anything else from Mr. Throat?	WOODWARD	 Mitchell started the cover-up early, everyone is involved in the cover- up, all the way to the top. The whole U.S. intelligence community is mixed in with the covert activities. The extent of it is incredible. (little pause) And people's lives are in danger, maybe including ours.					All the President's Men 
WHITE HOUSE SPOKESMAN	 I have been informed reliably by John Dean that no one connected with the White House...	WESTERN SENATOR	 (coming in, overlapping) It is only our pathetic Post that deliberately tries to infuse the Watergate caper with a seriousness far beyond those shenanigans that have been the stock trade of political pranksters ever since...	WHITE HOUSE SPOKESMAN	 An insult to the American public--	CREEP P.R. MAN	 --the deplorable tactics employed by the Washington Post--	All the President's Men 
