DUCKS	 It's Peezee. Gotta be.    He hates your fuckin' guts.	CAESAR	 (brooding) I don't know.	DUCKS	 Who else knew about the money? And how did Peezee know they popped Tony Cisco when we didn't even hear about it 'til last night?	CAESAR	 (sighs heavily) I don't know.	Analyze That 
VITTI	 You were good.  It isn't your fault.	BEN	 No, it is. Since my father died -- (starts crying) I've lost my way. I don't know anything anymore. I mean, what's the point? I didn't think it would hit me so hard --	VITTI	 Would you just shut up about your father!	BEN	 I'm grieving, goddammit!    Have a little respect!	Analyze That 
BEN	 I'm grieving for myself, you fucking idiot! Ben lets it all go, sobbing for all the years of pain.	VITTI	 (surprised, shrugs) Jeez, I'm sorry.	BEN	 Now I know how you must have felt when your father was killed. Vitti looks at him.	BEN	 (crying more) I mean, it had to be ten times worse for you -- being murdered right in front of you. And you were so young - -	Analyze That 
VITTI	 We don't have time for this.	BEN	 (really sobbing) It must've been so painful!	VITTI	 (eyes filling with tears) I'm warning you -- don't do this --	BEN	 I mean, it's like all his hopes for you died with him. And that's so sad.	Analyze That 
BEN	 (really sobbing) It must've been so painful!	VITTI	 (eyes filling with tears) I'm warning you -- don't do this --	BEN	 I mean, it's like all his hopes for you died with him. And that's so sad.	VITTI	 (starting to cry) There I go. You happy now?      You see what you're doing here? Both men are crying now.	Analyze That 
BEN	 I mean, it's like all his hopes for you died with him. And that's so sad.	VITTI	 (starting to cry) There I go. You happy now?      You see what you're doing here? Both men are crying now.	BEN	 Your father really loved you.	VITTI	 I loved him, too. I did.	Analyze That 
VITTI	 I loved him, too. I did.	BEN	 (hugs him) I know. I know. Jelly comes around the corner and sees the two men in a weepy embrace.	JELLY	 Oh, boy.    This is bad.	JELLY	 Maybe we oughta should go. Vitti, Ben and Jelly run to the bus, but Eddie pulls a gun and stops them. Al and Bobby cover Jelly and the rest of the crew. Vitti backs away slowly.	Analyze That 
EDDIE	 Yeah, well, nice work.   Mr. Rigazzi will be very grateful.	BEN	 (to Vitti) Rigazzi? I thought he worked for Patti LoPresti.	VITTI	 That's what Patty thought, too. This scumbag's been playin' both sides against the middle.	EDDIE	 There's only one side as far as I'm concerned. Mine. What did you think? I was just gonna stand by and let some fuckin' has-been move back in? So long, Mr. Vitti. He cocks the gun and is about to pull the trigger when Ben suddenly roars and slams him in the head with his gun. Vitti and Jelly quickly cover Al Pacino and Enormous Bobby.	Analyze That 
EDDIE	 There's only one side as far as I'm concerned. Mine. What did you think? I was just gonna stand by and let some fuckin' has-been move back in? So long, Mr. Vitti. He cocks the gun and is about to pull the trigger when Ben suddenly roars and slams him in the head with his gun. Vitti and Jelly quickly cover Al Pacino and Enormous Bobby.	BEN	 (beating the shit out of Eddie) I can't take it anymore! That's what I hate about you fucking sociopaths! You just keep changing the rules to suit yourselves. Well, not this time, you anti-social asshole. You fucked with the wrong shrink! Sitting on Eddie's chest, he presses the gun against Eddie's nose.	BEN	 Don't you read the papers?   The guy	VITTI	 Yeah, what?	Analyze That 
CAPTAIN	 (screaming) On the floor! Face-down!   Now!	AL PACINO	 (to Eddie) Nice goin'. Good plan.	ENORMOUS BOBBY	 What's a sociopath?	SWAT LEADER	 They're escaping out the back!    Get over there! Move it! The marshals rush toward the sound of the GUNFIRE and	Analyze That 
TONY BELLA	 What the hell is this?	RAOUL (O.S.)	 (on his own bullhorn) Cut, cut, cut! What the hell's going on? Raoul strides out into the street, furious, still talking through his bullhorn.	RAOUL	 (to the Captain) Who are you? What are you doing in my shot? The Captain and the marshals look around and see that they're on the set of "Little Caesar."	CAPTAIN	 What are you doing on my street? The Captain walks toward Raoul until they are almost face to face, shouting at each other through their BULLHORNS.	Analyze That 
CAPTAIN	 I don't give a shit about your permit! The ASSISTANT DIRECTOR addresses the TV crew.	ASSISTANT DIRECTOR	 All right, people. Back to one and let's try it again! (into his walkie-talkie) Release the traffic and reset for another take. On the perimeters of the set, the PA's signal the off-duty cops who work the set to release the real traffic they've been holding on the cross streets. A city bus passes behind Raoul and Tony Bella who are still					Analyze That 
BEN	 (sees them coming) That's it. We're screwed. The cops walk toward the back and confront Ben.	LEAD SWAT	 You!	BEN	 Yes, Officer?			Analyze That 
VITTI	 Can't do that.	PATTY	 Well, if you ever change your mind -- (kisses him)					Analyze That 
VITTI	 Yeah.	BEN	 (ruefully) Did she grab your balls?	VITTI	 What kind of question is that? She's cool. She's just happy to have 'the Wrench' out of the way.	BEN	 Well, I talked to the U.S. Attorney.	Analyze That 
BEN	 You, too, Paul. They embrace. Then Vitti starts to walk away toward Jelly who has been waiting at a respectful distance. Vitti stops and turns.	VITTI	 Hey, Doc! (sings) 'There's a place for us -- '	BEN	 (sings) 'A time and place for us -- '	JELLY	 (joins in) 'Hold my hand we're halfway there -- '	Analyze That 
VITTI	 Hey, Doc! (sings) 'There's a place for us -- '	BEN	 (sings) 'A time and place for us -- '	JELLY	 (joins in) 'Hold my hand we're halfway there -- '	ALL TOGETHER	 'Hold my hand and I'll take you there. (belting) Somehow, someday, somewhere.' The ORCHESTRA SWELLS as we CRANE UP TO the Brooklyn Bridge and Lower Manhattan beyond.	Analyze That 
BEN	 (sings) 'A time and place for us -- '	JELLY	 (joins in) 'Hold my hand we're halfway there -- '	ALL TOGETHER	 'Hold my hand and I'll take you there. (belting) Somehow, someday, somewhere.' The ORCHESTRA SWELLS as we CRANE UP TO the Brooklyn Bridge and Lower Manhattan beyond.	THE END		Analyze That 
JELLY	 (joins in) 'Hold my hand we're halfway there -- '	ALL TOGETHER	 'Hold my hand and I'll take you there. (belting) Somehow, someday, somewhere.' The ORCHESTRA SWELLS as we CRANE UP TO the Brooklyn Bridge and Lower Manhattan beyond.	THE END				Analyze That 
