BUD (V.O.)	 It's a real nice apartment - nothing fancy -- but kind of cozy -- just right for a bachelor. The only problem is - I can't always get in when I want to. INT. THE APARTMENT - EVENING (Picasso, Braque, Klee) tacked up on the walls.	KIRKEBY	 (calling off) Come on, Sylvia.  It's getting late.	KIRKEBY	 Cut it out, Sylvia.  We got to get out of here.			Apartment, The 
BUD	 Mrs. Dreyfuss, can I borrow some coffee -- and maybe an orange and a couple of eggs?	MRS. DREYFUSS	 (contemptuously) Eggs he asks me for. Oranges. What you need is a good horse-whipping.	BUD	 Ma'am?	MRS. DREYFUSS	 From me the doctor has no secrets. Poor girl -- how could you do a thing like that?	Apartment, The 
FRAN	 My sister -- she'll want to know what happened to me.	BUD	 (alarmed) Wait a minute -- let's talk this over first. (hurries up to her, takes the receiver away) Just what are you going to tell her?	FRAN	 Well, I haven't figured it out, exactly.	BUD	 You better figure it out -- exactly. Suppose she asks you why you didn't come home last night?	Apartment, The 
BUD	 What's her first name?	FRAN	 Miss. (she is impressed with her own cleverness)	BUD	 When are you coming home?	FRAN	 As soon as I can walk.	Apartment, The 
FRAN	 They had to pump it out.	BUD	 (hanging up the phone) Miss Kubelik, I don't think you ought to call anybody -- not till that chewing gum is out of your head. (leads her into bedroom)	FRAN	 But they'll be worried about me -- my brother-in-law may be calling the police --	BUD	 That's why we have to be careful -- we don't want to involve anybody -- after all, Mr. Sheldrake is a married man --	Apartment, The 
FRAN	 Thanks for reminding me.	BUD	 (contritely) I didn't mean it that way -- I was just talking to him on the phone -- he's very concerned about you.	FRAN	 He doesn't give a damn about me.	BUD	 Oh, you're wrong. He told me --	Apartment, The 
FRAN	 He's a liar. But that's not the worst part of it -- the worst part is -- I still love him.	BUD	 Must be Mrs. Dreyfuss -- (starts into living room) -- remember the doctor -- from last night -- that's his wife.	MRS. DREYFUSS	 So where is the victim? (Bud indicates the bedroom) Max the Knife!	MRS. DREYFUSS	 (to Fran) Nu, little lady, how are we feeling today?	Apartment, The 
BUD	 Must be Mrs. Dreyfuss -- (starts into living room) -- remember the doctor -- from last night -- that's his wife.	MRS. DREYFUSS	 So where is the victim? (Bud indicates the bedroom) Max the Knife!	MRS. DREYFUSS	 (to Fran) Nu, little lady, how are we feeling today?	FRAN	 I don't know -- kind of dizzy.	Apartment, The 
FRAN	 I can't eat.	MRS. DREYFUSS	 You must eat -- and you must get healthy -- and you must forget him. Such a fine boy he seemed when he first moved in here -- clean and cut -- a regular Ivy Leaguer. Turns out he is King Farouk. Mit the drinking -- mit the cha cha -- mit the no napkins. A girl like you, for the rest of your life you want to cry in your noodle soup? Who needs it! You listen to me, you find yourself a nice, substantial man -- a widower maybe -- and settle down -- instead of nashing all those sleeping pills -- for what, for whom? -- for some Good Time Charlie? (sees Bud approaching with napkin) Sssh!	BUD	 (gaily) One napkin, coming up. (hands it to Fran) I wish we had some champagne to wrap it around.	MRS. DREYFUSS	 (to Fran) What did I tell you?	Apartment, The 
MRS. DREYFUSS	 You must eat -- and you must get healthy -- and you must forget him. Such a fine boy he seemed when he first moved in here -- clean and cut -- a regular Ivy Leaguer. Turns out he is King Farouk. Mit the drinking -- mit the cha cha -- mit the no napkins. A girl like you, for the rest of your life you want to cry in your noodle soup? Who needs it! You listen to me, you find yourself a nice, substantial man -- a widower maybe -- and settle down -- instead of nashing all those sleeping pills -- for what, for whom? -- for some Good Time Charlie? (sees Bud approaching with napkin) Sssh!	BUD	 (gaily) One napkin, coming up. (hands it to Fran) I wish we had some champagne to wrap it around.	MRS. DREYFUSS	 (to Fran) What did I tell you?	BUD	 (uncomfortable) Look, Mrs. Dreyfuss, you don't have to wait around. I'll wash the dishes and --	Apartment, The 
BUD	 (gaily) One napkin, coming up. (hands it to Fran) I wish we had some champagne to wrap it around.	MRS. DREYFUSS	 (to Fran) What did I tell you?	BUD	 (uncomfortable) Look, Mrs. Dreyfuss, you don't have to wait around. I'll wash the dishes and --	MRS. DREYFUSS	 You wash 'em, you break 'em. I'll come back for them later. (to Fran) If he makes trouble, give me a yell.	Apartment, The 
MRS. DREYFUSS	 (to Fran) What did I tell you?	BUD	 (uncomfortable) Look, Mrs. Dreyfuss, you don't have to wait around. I'll wash the dishes and --	MRS. DREYFUSS	 You wash 'em, you break 'em. I'll come back for them later. (to Fran) If he makes trouble, give me a yell.	FRAN	 She doesn't seem to like you very much.	Apartment, The 
BUD	 (uncomfortable) Look, Mrs. Dreyfuss, you don't have to wait around. I'll wash the dishes and --	MRS. DREYFUSS	 You wash 'em, you break 'em. I'll come back for them later. (to Fran) If he makes trouble, give me a yell.	FRAN	 She doesn't seem to like you very much.	BUD	 Oh, I don't mind. As a matter of fact, I'm sort of flattered -- that anybody should think a girl like you -- would do a thing like this -- over a guy like me.	Apartment, The 
BUD	 Oh, I don't mind. As a matter of fact, I'm sort of flattered -- that anybody should think a girl like you -- would do a thing like this -- over a guy like me.	FRAN	 (glancing at night table) Oh. Did you find something here -- an envelope -- ?	BUD	 Yes, I've got it. (takes envelope out of back pocket) Don't you think we'd better destroy it? So it won't fall into the wrong hands -- ?	FRAN	 Open it.	Apartment, The 
FRAN	 (glancing at night table) Oh. Did you find something here -- an envelope -- ?	BUD	 Yes, I've got it. (takes envelope out of back pocket) Don't you think we'd better destroy it? So it won't fall into the wrong hands -- ?	FRAN	 Open it.	BUD	 There's nothing here but a hundred dollar bill.	Apartment, The 
FRAN	 That's right. Will you see that Mr. Sheldrake gets it?	BUD	 (shrugging) Sure.	FRAN	 (holding out tray) Here -- take this, will you?	BUD	 You want me to move the television set in here? (Fran shakes her head) You play gin rummy?	Apartment, The 
BUD	 (shrugging) Sure.	FRAN	 (holding out tray) Here -- take this, will you?	BUD	 You want me to move the television set in here? (Fran shakes her head) You play gin rummy?	FRAN	 I'm not very good at it.	Apartment, The 
FRAN	 (holding out tray) Here -- take this, will you?	BUD	 You want me to move the television set in here? (Fran shakes her head) You play gin rummy?	FRAN	 I'm not very good at it.	BUD	 I am. Let me get the cards.	Apartment, The 
BUD	 Three across, spades double, high deals. (they cut) Eight -- ten. (he starts to deal)	FRAN	 (pensively) I think I'm going to give it all up.	BUD	 Give what up?	FRAN	 Why do people have to love people, anyway?	Apartment, The 
FRAN	 Why do people have to love people, anyway?	BUD	 Yeah -- I know what you mean. (flips over down card) Queen.	FRAN	 I don't want it.	BUD	 Pick a card.	Apartment, The 
BUD	 A bad insurance risk?	FRAN	 (nodding) That's me with men. I've been jinxed from the word go -- first time I was ever kissed was in a cemetery.	BUD	 A cemetery?	FRAN	 I was fifteen -- we used to go there to smoke. His name was George -- he threw me over for a drum majorette.	Apartment, The 
FRAN	 I just have this talent for falling in love with the wrong guy in the wrong place at the wrong time.	BUD	 (shuffling) How many guys were there?	FRAN	 (holding up four fingers) Three. The last one was manager of a finance company, back home in Pittsburgh -- they found a little shortage in his accounts, but he asked me to wait for him -- he'll be out in 1965.	BUD	 (pushing the deck toward her) Cut.	Apartment, The 
BUD	 (shuffling) How many guys were there?	FRAN	 (holding up four fingers) Three. The last one was manager of a finance company, back home in Pittsburgh -- they found a little shortage in his accounts, but he asked me to wait for him -- he'll be out in 1965.	BUD	 (pushing the deck toward her) Cut.	FRAN	 (she does, and he starts dealing) So I came to New York and moved in with my sister and her husband -- he drives a cab. They sent me to secretarial school, and I applied for a job with Consolidated - but I flunked the typing test --	Apartment, The 
FRAN	 (holding up four fingers) Three. The last one was manager of a finance company, back home in Pittsburgh -- they found a little shortage in his accounts, but he asked me to wait for him -- he'll be out in 1965.	BUD	 (pushing the deck toward her) Cut.	FRAN	 (she does, and he starts dealing) So I came to New York and moved in with my sister and her husband -- he drives a cab. They sent me to secretarial school, and I applied for a job with Consolidated - but I flunked the typing test --	BUD	 Too slow?	Apartment, The 
BUD	 (pushing the deck toward her) Cut.	FRAN	 (she does, and he starts dealing) So I came to New York and moved in with my sister and her husband -- he drives a cab. They sent me to secretarial school, and I applied for a job with Consolidated - but I flunked the typing test --	BUD	 Too slow?	FRAN	 Oh. I can type up a storm, but I can't spell. So they gave me a pair of white gloves and stuck me in an elevator -- that's how I met Jeff -- (her eyes mist up, and she puts her cards down) Oh, God, I'm so fouled up. What am I going to do now?	Apartment, The 
BUD	 Too slow?	FRAN	 Oh. I can type up a storm, but I can't spell. So they gave me a pair of white gloves and stuck me in an elevator -- that's how I met Jeff -- (her eyes mist up, and she puts her cards down) Oh, God, I'm so fouled up. What am I going to do now?	BUD	 You better win a hand -- you're on a blitz.	FRAN	 Was he really upset when you told him?	Apartment, The 
BUD	 No doubt about it.	FRAN	 (a thoughtful beat, then) Can I have that pad and the pencil?	BUD	 (handing her score pad and pencil) What for?	FRAN	 I'm going to write a letter to Mrs. Sheldrake.	Apartment, The 
FRAN	 (a thoughtful beat, then) Can I have that pad and the pencil?	BUD	 (handing her score pad and pencil) What for?	FRAN	 I'm going to write a letter to Mrs. Sheldrake.	BUD	 You are?	Apartment, The 
BUD	 Well, for one thing, you can't spell. And secondly -- if you did something like that -- you'd hate yourself.	FRAN	 (fighting back tears) I don't like myself very much anyway.	BUD	 Pick up your cards and let's go.	FRAN	 Do I have to?	Apartment, The 
BUD	 (muttering to himself) All right -- all right, Mrs. Dreyfuss.	KIRKEBY	 Hi, Baxter.	BUD	 (blocking the door) What do you want?			Apartment, The 
KIRKEBY	 Hi, Baxter.	BUD	 (blocking the door) What do you want?	KIRKEBY	 What do I -- ? (to Sylvia) Just a minute.	BUD	 You can't come in.	Apartment, The 
BUD	 (blocking the door) What do you want?	KIRKEBY	 What do I -- ? (to Sylvia) Just a minute.	BUD	 You can't come in.	KIRKEBY	 (closing the door behind him) What's the matter with you, Buddy- boy? I made a reservation for four o'clock, remember?	Apartment, The 
BUD	 You can't come in.	KIRKEBY	 (closing the door behind him) What's the matter with you, Buddy- boy? I made a reservation for four o'clock, remember?	BUD	 Look, you can't stay here. Just take your champagne and go.	KIRKEBY	 Baxter, I don't want to pull rank on you -- but I told the lady it was all set -- you want to make a liar out of me?	Apartment, The 
BUD	 Are you going to leave, Mr. Kirkeby, or do I have to throw you out?	KIRKEBY	 Buddy-boy, why didn't you say so? (indicating dress) You got yourself a little playmate, huh?	BUD	 Now will you get out?			Apartment, The 
SYLVIA	 (knocking on the door) Hey, come on, what are we waiting for? Open up, will you?	DR. DREYFUSS	 (calling) Mildred --  !	SYLVIA	 (knocking on Baxter's door) What's holding things up?			Apartment, The 
DR. DREYFUSS	 (calling) Mildred --  !	SYLVIA	 (knocking on Baxter's door) What's holding things up?					Apartment, The 
BUD	 No!	KIRKEBY	 (grinning smugly) Well, I don't blame you. So you hit the jackpot, eh kid -- I mean, Kubelik-wise? (Bud opens the door, gestures him out) Don't worry. I won't say a word to anybody.					Apartment, The 
KIRKEBY	 Stay with it, Buddy-boy! (Bud shuts the door on him) Come on, Sylvia.	SYLVIA	 What gives?	KIRKEBY	 A little mixup in signals. Let's go.			Apartment, The 
SYLVIA	 Go where?	KIRKEBY	 (leading her toward stairs) What's your mother doing this afternoon?	SYLVIA	 She's home -- stuffing a turkey.	KIRKEBY	 Why don't we send her to a movie -- like Ben-Hur?	Apartment, The 
BUD	 Just somebody delivering a bottle of champagne. Like some?	FRAN	 (shaking her head) Would you mind opening the window?	BUD	 Now don't go getting any ideas, Miss Kubelik.	FRAN	 I just want some fresh air.	Apartment, The 
FRAN	 So they'll shoot me -- like a horse.	BUD	 (approaching the bed) Please, Miss Kubelik, you got to promise me you won't do anything foolish.	FRAN	 Who'd care?	BUD	 I would.	Apartment, The 
BUD	 I would.	FRAN	 (sleepily) Why can't I ever fall in love with somebody nice like you?	BUD	 (ruefully) Yeah. Well -- that's the way it crumbles, cookie-wise. Go to sleep.			Apartment, The 
FRAN	 (sleepily) Why can't I ever fall in love with somebody nice like you?	BUD	 (ruefully) Yeah. Well -- that's the way it crumbles, cookie-wise. Go to sleep.					Apartment, The 
SECRETARIES	 (ad lib) Good morning, Mr. Sheldrake.	SHELDRAKE	 (ignoring them) Miss Olsen, will you come into my office, please?					Apartment, The 
SHELDRAKE	 Thank you for giving that little pep talk to Miss Kubelik at the office party.	MISS OLSEN	 (dropping her business-like mask) I'm sorry, Jeff. You know I could never hold my liquor --	SHELDRAKE	 But I thought you could hold your tongue.	MISS OLSEN	 It won't happen again.	Apartment, The 
MISS OLSEN	 It won't happen again.	SHELDRAKE	 You bet it won't. I'll arrange for you to get a month's severance pay -- (she looks at him, uncomprehending) That's right, Miss Olsen. I'm letting you go.	MISS OLSEN	 (quietly) You let me go four years ago, Jeff. Only you were cruel enough to make me sit out there and watch the new models pass by.	SHELDRAKE	 I'd appreciate it if you'd be out of here as soon as you can.	Apartment, The 
SHELDRAKE	 You bet it won't. I'll arrange for you to get a month's severance pay -- (she looks at him, uncomprehending) That's right, Miss Olsen. I'm letting you go.	MISS OLSEN	 (quietly) You let me go four years ago, Jeff. Only you were cruel enough to make me sit out there and watch the new models pass by.	SHELDRAKE	 I'd appreciate it if you'd be out of here as soon as you can.	MISS OLSEN	 (formal again) Yes, Mr. Sheldrake.	Apartment, The 
SHELDRAKE	 I'd appreciate it if you'd be out of here as soon as you can.	MISS OLSEN	 (formal again) Yes, Mr. Sheldrake.	SHELDRAKE	 (into phone) This is Mr. Sheldrake. I'd like Mr. Baxter's home telephone number -- that's C.C. Baxter, in Ordinary Premium Accounting --			Apartment, The 
MISS OLSEN	 (formal again) Yes, Mr. Sheldrake.	SHELDRAKE	 (into phone) This is Mr. Sheldrake. I'd like Mr. Baxter's home telephone number -- that's C.C. Baxter, in Ordinary Premium Accounting --					Apartment, The 
BUD	 (looking off) Yes, she's in the shower -- she's coming along fine, considering.	SHELDRAKE	 Good. Is there anything you need -- money -- ?	BUD	 No, thank you, Mr. Sheldrake. As a matter of fact, I've got some money for you -- a hundred dollars --			Apartment, The 
BUD	 No, thank you, Mr. Sheldrake. As a matter of fact, I've got some money for you -- a hundred dollars --	SHELDRAKE	 Oh. (a beat) Well, if there's anything I can do for you --	BUD	 For me? I don't think so. But I was hoping maybe you could do something for her --	SHELDRAKE	 Like what? Put yourself in my place, Baxter -- how can I help her -- my hands are tied --	Apartment, The 
BUD	 There's a call for you --	FRAN	 (approaching) For me?	BUD	 -- Mr. Sheldrake.	FRAN	 I don't want to talk to him.	Apartment, The 
FRAN	 I don't want to talk to him.	BUD	 I think you should. I have to run down to the grocery anyway -- all that's left around here is one frozen pizza -- (takes raincoat and old hat from hanger) I'll be right back -- okay?	FRAN	 (into phone) Hello, Jeff. (a long beat) Yes, I'm all right.	SHELDRAKE	 Fran, why did you do it? It's so childish -- and it never solves anything -- I ought to be very angry with you, scaring me like that -- but let's forget the whole thing -- pretend it never happened -- what do you say, Fran? (no answer) Fran --	Apartment, The 
BUD	 I think you should. I have to run down to the grocery anyway -- all that's left around here is one frozen pizza -- (takes raincoat and old hat from hanger) I'll be right back -- okay?	FRAN	 (into phone) Hello, Jeff. (a long beat) Yes, I'm all right.	SHELDRAKE	 Fran, why did you do it? It's so childish -- and it never solves anything -- I ought to be very angry with you, scaring me like that -- but let's forget the whole thing -- pretend it never happened -- what do you say, Fran? (no answer) Fran --			Apartment, The 
FRAN	 (into phone) Hello, Jeff. (a long beat) Yes, I'm all right.	SHELDRAKE	 Fran, why did you do it? It's so childish -- and it never solves anything -- I ought to be very angry with you, scaring me like that -- but let's forget the whole thing -- pretend it never happened -- what do you say, Fran? (no answer) Fran --					Apartment, The 
FRAN	 Of course I'm not here -- because the whole thing never happened -- I never took those pills -- I never loved you -- we never even met -- isn't that the way you want it?	SHELDRAKE	 There you go again -- you know I didn't mean it that way, Fran. Just get well -- do what the nurse tells you -- I mean Baxter -- and I'll see you as soon as I can. Bye, Fran. (he hangs up)					Apartment, The 
MRS. LIEBERMAN	 (breathlessly) Oh, Mr. Baxter -- I'm glad you're here -- I was just going to get the passkey.	BUD	 What for?	MRS. LIEBERMAN	 I thought I smelled gas coming from your apartment.			Apartment, The 
BUD	 Are you all right?	FRAN	 Sure. (sniffs) What's that funny smell?	BUD	 Gas. (indicating kitchen) Didn't you turn it on?	FRAN	 Yes. I was boiling some water to get the coffee stains out of my dress.	Apartment, The 
FRAN	 Sure. (sniffs) What's that funny smell?	BUD	 Gas. (indicating kitchen) Didn't you turn it on?	FRAN	 Yes. I was boiling some water to get the coffee stains out of my dress.	BUD	 (accusingly) You turned it on -- but you didn't light it.	Apartment, The 
FRAN	 Yes. I was boiling some water to get the coffee stains out of my dress.	BUD	 (accusingly) You turned it on -- but you didn't light it.	FRAN	 Are you supposed to?	BUD	 In this house, you're supposed to.	Apartment, The 
FRAN	 I'd say. What's a tennis racquet doing in the kitchen?	BUD	 Tennis racquet? Oh, I remember -- I was cooking myself an Italian dinner. (Fran looks at him oddly) I used it to strain the spaghetti.	FRAN	 (thinking it over) Why not?	BUD	 As a matter of fact, I'm a pretty good cook -- but I'm a lousy housekeeper.	Apartment, The 
BUD	 Tennis racquet? Oh, I remember -- I was cooking myself an Italian dinner. (Fran looks at him oddly) I used it to strain the spaghetti.	FRAN	 (thinking it over) Why not?	BUD	 As a matter of fact, I'm a pretty good cook -- but I'm a lousy housekeeper.	FRAN	 Yes, you are, (indicating the living room) When I was straightening up the couch, you know what I found? Six hairpins, a lipstick, a pair of false eyelashes, and a swizzle stick from the Stork Club.	Apartment, The 
BUD	 As a matter of fact, I'm a pretty good cook -- but I'm a lousy housekeeper.	FRAN	 Yes, you are, (indicating the living room) When I was straightening up the couch, you know what I found? Six hairpins, a lipstick, a pair of false eyelashes, and a swizzle stick from the Stork Club.	BUD	 (shrugging) It's just that I'm the kind of guy who can't say no -- I don't mean to girls -- I mean --	FRAN	 You mean to someone like Mr. Sheldrake.	Apartment, The 
FRAN	 Yes, you are, (indicating the living room) When I was straightening up the couch, you know what I found? Six hairpins, a lipstick, a pair of false eyelashes, and a swizzle stick from the Stork Club.	BUD	 (shrugging) It's just that I'm the kind of guy who can't say no -- I don't mean to girls -- I mean --	FRAN	 You mean to someone like Mr. Sheldrake.	BUD	 I guess so.	Apartment, The 
FRAN	 Some people take, some people get took -- and they know they're getting took -- and there's nothing they can do about it.	BUD	 I wouldn't say that -- (trying to change the subject) What would you like to have for diner? There's onion soup and canned asparagus --	FRAN	 I really ought to be getting home. My family will be flipping by now.	BUD	 You can't leave yet. The doctor says it takes forty-eight hours to get the stuff out of your system.	Apartment, The 
BUD	 You can't leave yet. The doctor says it takes forty-eight hours to get the stuff out of your system.	FRAN	 (wistfully) I wonder how long it takes to get someone you're stuck on out of your system? If they'd only invent some kind of a pump for that --	BUD	 I know how you feel, Miss Kubelik. You think it's the end of the world -- but it's not, really. I went through exactly the same thing myself.	FRAN	 You did?	Apartment, The 
FRAN	 No, I don't.	BUD	 Anyway, I parked the car and loaded the gun -- well, you read in the papers all the time that people shoot themselves, but believe me, it's not that easy -- I mean, how do you do it? -- here, or here, or here -- (with cocked finger, he points to his temple, mouth and chest) -- you know where I finally shot myself?	FRAN	 Where?	BUD	 (indicating kneecap) Here.	Apartment, The 
FRAN	 Where?	BUD	 (indicating kneecap) Here.	FRAN	 In the knee?	BUD	 Uh-huh. While I was sitting there, trying to make my mind up, a cop stuck his head in the car, because I was illegally parked -- so I started to hide the gun under the seat and it went off -- pow!	Apartment, The 
BUD	 Uh-huh. While I was sitting there, trying to make my mind up, a cop stuck his head in the car, because I was illegally parked -- so I started to hide the gun under the seat and it went off -- pow!	FRAN	 (laughing) That's terrible.	BUD	 Yeah. Took me a year before I could bend my knee -- but I got over the girl in three weeks. She still lives in Cincinnati, has four kids, gained twenty pounds -- she sends me a fruit cake every Christmas.	FRAN	 (suddenly suspicious) Are you just making that up to make me feel better?	Apartment, The 
BUD	 Yeah. Took me a year before I could bend my knee -- but I got over the girl in three weeks. She still lives in Cincinnati, has four kids, gained twenty pounds -- she sends me a fruit cake every Christmas.	FRAN	 (suddenly suspicious) Are you just making that up to make me feel better?	BUD	 Of course not. Here's the fruit cake. (shows it to her under Christmas tree) And you want to see my knee? (starts to raise pant-leg)	FRAN	 No, thanks. The fellows in the office may get the wrong idea how I found out.	Apartment, The 
FRAN	 (suddenly suspicious) Are you just making that up to make me feel better?	BUD	 Of course not. Here's the fruit cake. (shows it to her under Christmas tree) And you want to see my knee? (starts to raise pant-leg)	FRAN	 No, thanks. The fellows in the office may get the wrong idea how I found out.	BUD	 So let 'em. Look, I'm going to cook dinner for us. We'll have the fruit cake for dessert. You just sit there and rest. You've done enough for one day.	Apartment, The 
BUD	 So let 'em. Look, I'm going to cook dinner for us. We'll have the fruit cake for dessert. You just sit there and rest. You've done enough for one day.	FRAN	 (smiling) Yes, nurse.					Apartment, The 
MATUSCHKA	 My name is Karl Matuschka -- my sister-in-law, she runs one of the elevators here -- Fran Kubelik.	KIRKEBY	 (exchanging a glance with Dobisch) Miss Kubelik?	MATUSCHKA	 You know her?	DOBISCH	 Of course. There may be a lot of employees here -- but we're one big happy family.	Apartment, The 
MATUSCHKA	 Well, she lives with us -- and my wife, she's getting a little nervous -- on account of Fran hasn't been home for two days.	KIRKEBY	 (another look at Dobisch) That so.	MATUSCHKA	 Anyway, we was wondering if somebody in the office would know what happened to her.	DOBISCH	 I see. (to Kirkeby) What do you think, Al? Can we help the man?	Apartment, The 
MATUSCHKA	 Anyway, we was wondering if somebody in the office would know what happened to her.	DOBISCH	 I see. (to Kirkeby) What do you think, Al? Can we help the man?	KIRKEBY	 (after a pregnant pause) Why not? We don't owe Buddy-boy anything.	DOBISCH	 Yeah. What's Buddy-boy done for us lately?	Apartment, The 
DOBISCH	 I see. (to Kirkeby) What do you think, Al? Can we help the man?	KIRKEBY	 (after a pregnant pause) Why not? We don't owe Buddy-boy anything.	DOBISCH	 Yeah. What's Buddy-boy done for us lately?	MATUSCHKA	 (scowling) Who is Buddy-boy?	Apartment, The 
DOBISCH	 Yeah. What's Buddy-boy done for us lately?	MATUSCHKA	 (scowling) Who is Buddy-boy?					Apartment, The 
BUD	 No -- just come as you are.	FRAN	 (watching him) Say, you're pretty good with that racquet.	BUD	 You ought to see my backhand. (dumping spaghetti into platter) And wait till I serve the meatballs. (demonstrates)	FRAN	 Shall I light the candles?	Apartment, The 
FRAN	 (watching him) Say, you're pretty good with that racquet.	BUD	 You ought to see my backhand. (dumping spaghetti into platter) And wait till I serve the meatballs. (demonstrates)	FRAN	 Shall I light the candles?	BUD	 It's a must -- gracious-living-wise.	Apartment, The 
FRAN	 You usually eat alone?	BUD	 Oh, no. Sometimes I have dinner with Ed Sullivan, sometimes with Dinah Shore or Perry Como -- the other night I had dinner with Mae West -- of course, she was much younger then. (toasting) Cheers.	FRAN	 Cheers.	BUD	 You know what we're going to do after dinner?	Apartment, The 
MATUSCHKA	 What's with you, Fran -- did you forget where you live?	FRAN	 (to Bud) This is my brother-in-law, Karl Matuschka.	BUD	 (friendly) How do you do, Mr. Matuschka?	MATUSCHKA	 (pushing Bud away; to Fran) Okay, get your clothes on. I got the cab downstairs.	Apartment, The 
FRAN	 (to Bud) This is my brother-in-law, Karl Matuschka.	BUD	 (friendly) How do you do, Mr. Matuschka?	MATUSCHKA	 (pushing Bud away; to Fran) Okay, get your clothes on. I got the cab downstairs.	BUD	 Now, wait a minute. I know what you're thinking -- but it's not as bad as it looks --	Apartment, The 
BUD	 (friendly) How do you do, Mr. Matuschka?	MATUSCHKA	 (pushing Bud away; to Fran) Okay, get your clothes on. I got the cab downstairs.	BUD	 Now, wait a minute. I know what you're thinking -- but it's not as bad as it looks --	MATUSCHKA	 (shoving him away) It's none of my business what you do, Fran -- you're over twenty- one -- but your sister happens to think you're a lady.	Apartment, The 
BUD	 Now, wait a minute. I know what you're thinking -- but it's not as bad as it looks --	MATUSCHKA	 (shoving him away) It's none of my business what you do, Fran -- you're over twenty- one -- but your sister happens to think you're a lady.	BUD	 All we were going to do is eat and wash the dishes --	MATUSCHKA	 (grabbing him) Look, Buddy-boy -- if there wasn't a lady present, I'd clobber you.	Apartment, The 
BUD	 All we were going to do is eat and wash the dishes --	MATUSCHKA	 (grabbing him) Look, Buddy-boy -- if there wasn't a lady present, I'd clobber you.	FRAN	 (separating them) All right, Karl -- I'll get dressed.	BUD	 Care for a martini? Champagne? (Matuschka continues glaring at him) How about a little spaghetti with meat sauce? Made it myself. (Matuschka just scowls) Your sister-in-law sure is terrific -- (realizes his mistake; switching abruptly) Must be murder driving a cab in New York -- I mean, with all that cross-town traffic --	Apartment, The 
MATUSCHKA	 (grabbing him) Look, Buddy-boy -- if there wasn't a lady present, I'd clobber you.	FRAN	 (separating them) All right, Karl -- I'll get dressed.	BUD	 Care for a martini? Champagne? (Matuschka continues glaring at him) How about a little spaghetti with meat sauce? Made it myself. (Matuschka just scowls) Your sister-in-law sure is terrific -- (realizes his mistake; switching abruptly) Must be murder driving a cab in New York -- I mean, with all that cross-town traffic --	DR. DREYFUSS	 Hi, Baxter.	Apartment, The 
FRAN	 (separating them) All right, Karl -- I'll get dressed.	BUD	 Care for a martini? Champagne? (Matuschka continues glaring at him) How about a little spaghetti with meat sauce? Made it myself. (Matuschka just scowls) Your sister-in-law sure is terrific -- (realizes his mistake; switching abruptly) Must be murder driving a cab in New York -- I mean, with all that cross-town traffic --	DR. DREYFUSS	 Hi, Baxter.	DR. DREYFUSS	 How's the patient?	Apartment, The 
DR. DREYFUSS	 How's the patient?	BUD	 (quickly) Oh, I'm fine, Doc.	DR. DREYFUSS	 Not you -- Miss Kubelik.	MATUSCHKA	 (stepping forward) What's the matter with Miss Kubelik?	Apartment, The 
DR. DREYFUSS	 Not you -- Miss Kubelik.	MATUSCHKA	 (stepping forward) What's the matter with Miss Kubelik?	BUD	 Oh, this is Mr. Matuschka -- he's Miss Kubelik's -- he's got a cab downstairs --	MATUSCHKA	 (to Dreyfuss) Fran been sick or something?	Apartment, The 
BUD	 Oh, this is Mr. Matuschka -- he's Miss Kubelik's -- he's got a cab downstairs --	MATUSCHKA	 (to Dreyfuss) Fran been sick or something?	BUD	 No, no -- just had a little accident.	MATUSCHKA	 (to Dreyfuss) What does he mean, accident?	Apartment, The 
BUD	 No, no -- just had a little accident.	MATUSCHKA	 (to Dreyfuss) What does he mean, accident?	DR. DREYFUSS	 Well, these things happen all the time --	MATUSCHKA	 What things? (grabbing Dreyfuss) Say, what kind of doctor are you, anyway?	Apartment, The 
DR. DREYFUSS	 Well, these things happen all the time --	MATUSCHKA	 What things? (grabbing Dreyfuss) Say, what kind of doctor are you, anyway?	BUD	 (hastily) Oh, not that kind. He just gave her a shot and pumped her stomach out --	MATUSCHKA	 What for?	Apartment, The 
MATUSCHKA	 What things? (grabbing Dreyfuss) Say, what kind of doctor are you, anyway?	BUD	 (hastily) Oh, not that kind. He just gave her a shot and pumped her stomach out --	MATUSCHKA	 What for?	FRAN	 (coming up) Because I took some sleeping pills. But I'm all right now -- so let's go.	Apartment, The 
MATUSCHKA	 What for?	FRAN	 (coming up) Because I took some sleeping pills. But I'm all right now -- so let's go.	MATUSCHKA	 Why did you take sleeping pills?	BUD	 (promptly) On account of me.	Apartment, The 
MATUSCHKA	 Why did you take sleeping pills?	BUD	 (promptly) On account of me.	MATUSCHKA	 (whirling on him) You?	BUD	 Who else?	Apartment, The 
BUD	 (promptly) On account of me.	MATUSCHKA	 (whirling on him) You?	BUD	 Who else?	FRAN	 Leave him alone, Karl.	Apartment, The 
FRAN	 Goodbye, doctor.	DR. DREYFUSS	 I don't want to gloat, but just between us, you had that coming to you. (tilts Bud's chin up, examines his eye) Tch, tch, tch. Are you going to have a shiner tomorrow. Let me get my bag. (he starts out)	BUD	 (calling after him) Don't bother, Doc. It doesn't hurt a bit.			Apartment, The 
